coin,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,0.6364,0.1667,0.2642,0.988,2.29,0.32,7,4,330,35
USDC,0.0153,1.0,0.0301,0.0721,3.77,27.85,13,837,65,0
DAI,0.0082,1.0,0.0162,0.065,4.0,28.24,7,849,59,0
USDT,0.0422,0.25,0.0722,0.8207,2.86,5.29,7,159,728,21
USDP,0.1471,0.0633,0.0885,0.9348,2.4,1.68,5,29,416,74
