coin,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,0.1417,0.6863,0.2349,0.4791,4.0,14.09,35,212,195,16
USDC,0.0136,0.2154,0.0256,0.1753,3.86,23.85,14,1016,216,51
DAI,0.0293,0.7561,0.0564,0.0697,3.35,27.3,31,1027,77,10
USDT,0.0737,0.3333,0.1207,0.8842,2.86,3.43,7,88,672,14
USDP,0.1471,0.0633,0.0885,0.9348,2.4,1.68,5,29,416,74
