coin,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,0.625,0.1429,0.2326,0.984,2.6,0.41,5,3,184,30
USDC,0.0127,0.2407,0.0242,0.1094,3.77,25.88,13,1009,124,41
DAI,0.0302,0.6458,0.0577,0.1255,3.42,25.54,31,996,143,17
USDT,0.0342,1.0,0.0662,0.1424,4.0,25.34,35,988,164,0
USDP,0.1502,1.0,0.2612,0.2065,3.69,21.18,146,826,215,0
