,0,1,2,3,4,5,6,7,8,9
percent_change_24h,-0.06901717945937923,0.3650352723971625,-0.06663468895402293,-0.05977301080755352,-0.09050874347665529,-0.3071220524084811,0.0631846966831086,-0.029245351635940973,0.26583570057812694,0.4315205835606777
percent_change_7d,-0.08911117646672899,0.38996294075588483,-0.023839831491862615,0.030959221479403772,-0.08583141870210716,-0.23411373249545148,0.021038094697959614,-0.051213787316014434,-0.005414258701483994,0.07345173184017834
percent_change_30d,-0.07686618321098698,0.4050051073381214,-0.0874719724794886,-0.025815138020220552,-0.056581897866518925,-0.15015377215266554,0.019219642472541387,-0.04546543184101554,-0.12299305401363998,-0.20200763732236618
volume_percent_change_24h,0.03805551067281233,-0.03464974364434126,0.26909922473256453,0.4357305793332157,-0.10613265471884178,-0.1660773923992237,-0.07837930419077072,-0.02953595933546814,-0.4327766817540884,0.22008233562651158
volume_percent_change_7d,0.015630369275577528,-0.01389801824836544,0.2695004726339768,0.4913312240918039,-0.21086006691118497,-0.013639469190706383,-0.05693156890471546,-0.16976467882707252,-0.12059590867305232,-0.03488802694895172
volume_percent_change_30d,-0.08378606909369406,-0.09103541343525925,0.3032535557408719,0.4058351301937135,-0.17511434217063676,-0.1788729811261208,-0.06285865673929673,0.05253876208713385,0.45241087145351394,-0.06728562221837786
market_cap_percent_change_24h,0.2903528314278231,0.07847508607943704,0.1445132550033774,0.05442873571147977,0.53399860241797,-0.1974108899083952,-0.1929813066489523,0.0974440084750148,0.06760700346523078,-0.003388125106983399
market_cap_percent_change_7d,0.4153001391832757,0.13151441023679392,0.040386280080985645,0.01393926842251897,-0.019739909079442394,0.08968342507751875,0.26594301470897735,-0.17792356140921117,-0.21115107238555422,-0.044588852011543494
market_cap_percent_change_30d,0.4153761897808037,0.0737559759656398,-0.044048200971459714,0.018237080968005234,-0.24183203257680133,0.12064409056190252,0.05391292199861686,0.013713697538965633,0.2924859298512847,0.03364760345838115
circulating_supply_percent_change_24h,0.28696678715222296,0.08941781814770448,0.14503914239020355,0.0525267733160109,0.5312238960746857,-0.2078342686898677,-0.19366324151135172,0.09791995870110921,0.07611441866528033,0.010204087607121722
circulating_supply_percent_change_7d,0.4147085019433405,0.1363841115455617,0.037417526733355355,0.015848182396514348,-0.020146259548689576,0.08731983076619894,0.26198559833632407,-0.17527000041940247,-0.20948168390118338,-0.04743026970518211
circulating_supply_percent_change_30d,0.4155316840438601,0.0761834340461293,-0.047600607516755856,0.020137743022380916,-0.24224690173206953,0.11987788614894651,0.05015546841962189,0.016178231303911297,0.2922906682305904,0.029405439825178643
realized_daily_volatility,0.013616457147778182,0.018707066291769957,0.0948895292836184,0.051924329234035956,-0.056557152321651635,-0.07428239584044807,0.46449111242487695,0.8518289152670102,-0.13832697255100063,0.030631470513296042
peg_error,-0.14334319826815817,0.4829582848491426,-0.06158351611105323,0.11203225221487544,0.03865911360791589,0.04127048290486284,0.029888614126997646,-0.00753879034441886,-0.005572617817365561,0.03461198379219849
abs_peg_error,-0.10832742547840182,0.4235335958207432,0.13728613022734587,-0.050636238149234986,-0.0639260045310444,0.10239762348089501,-0.14389517249499276,0.05259492933036115,-0.024995180312405343,-0.1632525815452693
price_deviation_5d,-0.08085417393699731,0.23868718375778009,0.27782320614928946,0.008243116078069428,0.05290267952263319,0.48137427888939405,-0.18825957363182758,0.14159800487576893,-0.07431617483083564,-0.385520904601473
price_deviation_30d,-0.07933261437337745,0.08586491881773908,0.19801401550401576,0.07468744814574445,0.15326625690250475,0.5922909876187475,-0.02771497930292618,0.05265643357695445,0.1927785127074242,0.5555575818595991
downward_price_deviation_5d,0.08071608485696631,-0.035147638434064016,0.412703498434855,-0.3606903099089449,-0.26195881144840866,-0.1483195137603187,-0.23959933794238042,0.12515686786601776,0.08849810210272435,-0.09605021384970208
downward_price_deviation_30d,0.11148231603070344,-0.0027274790748883482,0.3714478208890899,-0.4205716590145337,-0.22356096052054733,-0.12444907012173434,-0.1631892082552291,-0.02017249607050285,-0.1151025027618003,0.12049216572602449
fear_greed_index,-0.1616811604884919,-0.014534645282135989,0.30426971029948413,0.0018415468304579096,0.18728071552219178,-0.06351823904829687,0.5356997086572326,-0.23644031611021765,0.3580045320539967,-0.34710316924096335
fed_funds_rate,0.1611707404201562,0.029927030511550077,-0.39020233699584966,0.24796880367410368,-0.1441815467338806,0.006374009149456912,-0.3431541180688406,0.238450709203433,0.16162448286090764,-0.2770809402540871
