variable,count,stablecoin
market_cap_percent_change_7d,30,DAI
circulating_supply_percent_change_7d,29,DAI
percent_change_7d,16,DAI
circulating_supply_percent_change_24h,14,DAI
circulating_supply_percent_change_30d,13,DAI
realized_daily_volatility,13,DAI
fear_greed_index,13,DAI
market_cap_percent_change_30d,12,DAI
volume_percent_change_7d,12,DAI
fed_funds_rate,12,DAI
price_deviation_5d,11,DAI
abs_peg_error,10,DAI
peg_error,8,DAI
market_cap_percent_change_24h,7,DAI
volume_percent_change_30d,6,DAI
percent_change_30d,5,DAI
downward_price_deviation_5d,5,DAI
volume_percent_change_24h,5,DAI
percent_change_24h,2,DAI
price_deviation_30d,1,DAI
downward_price_deviation_30d,1,DAI
abs_peg_error,20,PAX
fear_greed_index,17,PAX
volume_percent_change_24h,15,PAX
percent_change_24h,12,PAX
fed_funds_rate,12,PAX
market_cap_percent_change_24h,12,PAX
price_deviation_5d,11,PAX
market_cap_percent_change_30d,11,PAX
percent_change_30d,10,PAX
percent_change_7d,9,PAX
volume_percent_change_7d,9,PAX
downward_price_deviation_5d,9,PAX
volume_percent_change_30d,7,PAX
price_deviation_30d,6,PAX
downward_price_deviation_30d,5,PAX
circulating_supply_percent_change_30d,5,PAX
market_cap_percent_change_7d,5,PAX
circulating_supply_percent_change_24h,4,PAX
peg_error,3,PAX
realized_daily_volatility,3,PAX
circulating_supply_percent_change_7d,1,PAX
volume_percent_change_24h,31,USDC
volume_percent_change_7d,21,USDC
volume_percent_change_30d,16,USDC
percent_change_7d,16,USDC
percent_change_24h,15,USDC
downward_price_deviation_30d,15,USDC
abs_peg_error,14,USDC
downward_price_deviation_5d,14,USDC
price_deviation_30d,13,USDC
peg_error,11,USDC
circulating_supply_percent_change_24h,10,USDC
market_cap_percent_change_24h,9,USDC
market_cap_percent_change_30d,8,USDC
fear_greed_index,8,USDC
price_deviation_5d,8,USDC
percent_change_30d,7,USDC
circulating_supply_percent_change_30d,7,USDC
circulating_supply_percent_change_7d,5,USDC
market_cap_percent_change_7d,4,USDC
fed_funds_rate,3,USDC
realized_daily_volatility,2,USDC
percent_change_24h,17,USDT
price_deviation_30d,11,USDT
market_cap_percent_change_30d,9,USDT
abs_peg_error,7,USDT
realized_daily_volatility,7,USDT
market_cap_percent_change_7d,7,USDT
circulating_supply_percent_change_30d,7,USDT
percent_change_7d,6,USDT
percent_change_30d,5,USDT
price_deviation_5d,5,USDT
volume_percent_change_30d,5,USDT
volume_percent_change_7d,5,USDT
peg_error,4,USDT
fear_greed_index,3,USDT
volume_percent_change_24h,3,USDT
circulating_supply_percent_change_7d,2,USDT
fed_funds_rate,1,USDT
market_cap_percent_change_24h,1,USDT
downward_price_deviation_5d,1,USDT
circulating_supply_percent_change_24h,1,USDT
downward_price_deviation_30d,1,USDT
market_cap_percent_change_7d,6,UST
market_cap_percent_change_24h,6,UST
realized_daily_volatility,4,UST
volume_percent_change_7d,4,UST
circulating_supply_percent_change_7d,4,UST
market_cap_percent_change_30d,3,UST
percent_change_7d,3,UST
circulating_supply_percent_change_30d,3,UST
downward_price_deviation_5d,2,UST
fear_greed_index,2,UST
percent_change_24h,2,UST
percent_change_30d,2,UST
volume_percent_change_24h,2,UST
downward_price_deviation_30d,1,UST
circulating_supply_percent_change_24h,1,UST
price_deviation_5d,1,UST
volume_percent_change_30d,1,UST
Unnamed: 0,1,UST
