PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-1.1448079841927128,-0.1497362393489066,-0.5614443233606081,0.25592085235497103,1.289796412127589,-0.8751992667722946,1.2063388225961624,-0.47939879747127484,0.8489657999330866,-0.6424215270528127
-0.5822280891428069,-1.1096890065035538,-0.11887434206095282,0.2699611928990232,1.0157043355256767,-0.3092053377755105,1.209967234028399,-0.5913106031329411,0.11569162296695153,-0.8270678468435707
-1.167941015149415,-0.8537315706960568,0.71076960461264,1.9512496698683497,-0.016609645830266286,-1.1880290995951923,1.1265642561411655,-0.5924593208565072,0.5536614363603519,-0.19647210643187482
-1.5730810507771538,-0.6367883789453903,-0.0728326962253148,0.8111595577649283,0.1728912143663053,-0.8820146432156748,1.1297155023021381,-0.5205556496095505,1.365378267691279,-0.865444051813096
-1.9754633839658706,-1.2063655997268135,0.03340965993042974,1.0063870886568833,-0.10640963861408267,-0.876256376628788,1.0528239664237757,-0.38671858414201854,1.2808277445778986,-0.7748736183976702
-0.8950899173718387,-0.7525290477976214,0.08789850581248113,0.793914101688158,1.182477576729835,-1.154949342783801,0.9084131816138616,-0.4276097105166353,0.9049166301750151,-0.6251786057654928
-3.1769709073921764,-1.7720597812511687,-0.7570078490775677,0.37020359866584573,-1.6673440152261285,0.2124115038465652,1.845789619952922,-0.9511702292371172,0.3763526216020935,-0.8641163192518847
-3.108149142187496,-1.582127633940205,-0.49577173251126655,0.1500723185980555,-0.1852700148343432,-0.5025461405428283,1.037993460324698,-0.45132064596673493,0.8634883781676292,-0.8219666179509193
-3.2633007744792617,-0.9268009863411483,1.4285299001163017,3.226210779566689,-0.6207833663145672,-2.0463297082298246,0.3032137208941111,-0.5833720213014298,0.3235808494356794,-0.16106527666547324
-3.6312183210938835,-2.144843131552014,0.8867711502561167,1.637712434233888,-0.38669366742833805,-1.0972920262802965,0.22789168611169036,-0.16419764039820414,1.354357337518223,-1.072379477598957
-3.380678470511811,-2.524133699861884,2.712259000759681,2.6123122118840834,-0.8974368982187018,-1.4442793686830209,-0.5894355901051589,-0.012974619588866502,1.9935519687195087,-1.3079145549940874
-3.1300583672169098,-1.6224385291284007,1.4956714606964563,0.8385604344061705,0.03220914755109694,-1.5661652297399438,-0.22530922851727028,0.14137459485361273,2.4869794196575525,-0.9708470456874125
-3.239255731636151,-1.8859956356987442,2.0864678074686656,1.418592063151268,0.019579311584323113,-1.732643326517436,-0.5346883565080204,0.23547768096730898,2.065626240303676,-1.095509004712972
-2.0472852495801015,-3.9140743178057638,5.996752895122528,0.004845494519491134,-1.7699630698280189,0.1327825790790429,-2.32483870808286,0.7281591684846295,0.9674608825929474,-2.5620225885251044
-2.866693810012369,-1.039613484111806,4.764084021238899,0.0020427879197348177,-2.473815156902274,-1.7527537034858856,-1.1495782438732476,0.04584367446260132,2.0212544678754796,-0.4489714578853512
-3.4531564513762554,-1.6785237966897135,3.696923372031527,-1.626411499856849,-1.805139249017054,-1.1091446661740227,-1.0017962651383818,0.650947409122702,2.5150378114775434,-1.6223260993793776
-2.777152599846846,-0.7242751494172167,4.078482484685042,-0.928584614805798,-1.0751530019644373,-1.8832202770862143,-1.1841639404799253,0.4976205739875997,1.3638969198127537,-1.0439284754880993
-2.1380481582417183,-1.4332201126280026,7.1543724167939216,3.222616100051924,-1.7572466163688196,-3.552790943584034,-1.9985397652258614,0.7997151163727547,3.8204011948681926,-1.3952358936142508
-2.206093631925282,0.9006091537611427,1.723907462232654,0.06703368301060798,0.4406110004926866,-1.8926079989492401,-0.005437067234903553,-0.19312254499828085,1.9598277517094118,-0.5641156945139136
-1.6493536425660067,-1.352933902493885,1.7552714661205737,0.22642591707209486,0.4897035521747668,-1.0943450818095142,-0.03159021093294608,-0.08023831059859238,1.0444805090886924,-0.7682371759065503
-2.352910207880487,0.18334143740487455,1.3114688892458428,0.21302853046033982,-0.16053874982620742,-1.887428103596349,0.5067719010245842,-0.4299841224344733,1.0465357203676957,0.0987943696390333
-2.306646190485199,-0.5697797943944722,0.6592681743572806,-0.8091477352526416,0.08925885345408067,-0.8481044773235735,0.8559719791281596,-0.5090679616896775,0.3482869486729665,-0.3670473710099503
-2.4544157548080476,-0.4167761979863349,0.5503916668093517,-0.7052816869660369,-0.12683927029429953,-0.6709506761522982,0.8780981327710748,-0.7639520205960186,-0.6734754437419009,-0.19675239394640212
-2.8644767110151825,0.18201925753395362,0.39889137246941286,-0.9710511609226004,0.06388618391429053,-0.9350766061025818,0.6253505883806865,-0.4760979695944763,-0.02414584684762511,-0.18955391330857527
