,symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
0,UST,2020-11-25 23:59:59,2020-11-25 00:00:00,2020-11-25 23:59:59,2020-11-25 11:48:07,2020-11-25 17:19:07,1.01048833,1.01075222,0.99354158,0.99957196,3758726.64,13328042.0724798,13333749.41
1,UST,2020-11-26 23:59:59,2020-11-26 00:00:00,2020-11-26 23:59:59,2020-11-26 03:33:07,2020-11-26 09:47:07,0.99935995,1.0227736,0.98269107,1.00044145,16210369.84,15646380.00678574,15639476.02
2,UST,2020-11-27 23:59:59,2020-11-27 00:00:00,2020-11-27 23:59:59,2020-11-27 11:33:07,2020-11-27 16:07:07,1.00010601,1.00360525,0.99469791,0.99951533,4086972.72,17439301.86869892,17447758.34
3,UST,2020-11-28 23:59:59,2020-11-28 00:00:00,2020-11-28 23:59:59,2020-11-28 19:25:11,2020-11-28 16:04:08,0.99947553,1.00403307,0.99560121,0.99932532,3721757.38,17435986.26920947,17447757.88
4,UST,2020-11-29 23:59:59,2020-11-29 00:00:00,2020-11-29 23:59:59,2020-11-29 16:06:07,2020-11-29 21:04:07,0.99924555,1.00182822,0.99705886,0.99964099,856953.09,17438703.39803731,17444966.35
5,UST,2020-11-30 23:59:59,2020-11-30 00:00:00,2020-11-30 23:59:59,2020-11-30 15:33:11,2020-11-30 14:49:09,0.99962877,1.00151232,0.98790167,0.99770842,2663923.71,17428749.41226398,17468780.46
6,UST,2020-12-01 23:59:59,2020-12-01 00:00:00,2020-12-01 23:59:59,2020-12-01 12:28:09,2020-12-01 12:29:08,0.99687959,1.00645353,0.99109269,0.99996315,9102663.96,17541897.7326911,17542544.13
7,UST,2020-12-02 23:59:59,2020-12-02 00:00:00,2020-12-02 23:59:59,2020-12-02 09:49:08,2020-12-02 00:19:08,1.00016824,1.00305456,0.99511825,0.99985995,2346373.47,23546187.02130748,23549485.24
8,UST,2020-12-03 23:59:59,2020-12-03 00:00:00,2020-12-03 23:59:59,2020-12-03 05:43:08,2020-12-03 13:22:08,0.99983109,1.0023017,0.99549338,0.99979456,3813306.81,23543823.65297677,23548661.59
9,UST,2020-12-04 23:59:59,2020-12-04 00:00:00,2020-12-04 23:59:59,2020-12-04 10:19:08,2020-12-04 04:09:07,0.99984938,1.00220003,0.9890702,1.00069198,4671524.02,23564956.67905887,23548661.59
10,UST,2020-12-05 23:59:59,2020-12-05 00:00:00,2020-12-05 23:59:59,2020-12-05 10:15:17,2020-12-05 11:50:09,1.00082893,1.00163035,0.99631894,1.00037538,3255119.79,23557501.20537081,23548661.59
11,UST,2020-12-06 23:59:59,2020-12-06 00:00:00,2020-12-06 23:59:59,2020-12-06 16:19:08,2020-12-06 00:33:07,1.00036972,1.00241182,0.99912218,1.00080809,3435633.89,23567690.99809249,23548661.59
12,UST,2020-12-07 23:59:59,2020-12-07 00:00:00,2020-12-07 23:59:59,2020-12-07 03:38:08,2020-12-07 16:50:10,1.00086418,1.00145348,0.99913592,1.00021393,2550538.3,23553699.33678434,23548661.59
13,UST,2020-12-08 23:59:59,2020-12-08 00:00:00,2020-12-08 23:59:59,2020-12-08 23:01:14,2020-12-08 12:06:09,1.00023956,1.00258062,0.99530759,0.99945298,5183315.45,23535779.96553921,23548661.59
14,UST,2020-12-09 23:59:59,2020-12-09 00:00:00,2020-12-09 23:59:59,2020-12-09 08:24:11,2020-12-09 00:13:09,0.99940162,1.00158036,0.99481523,0.99945449,7156472.21,23535815.612126,23548661.59
15,UST,2020-12-10 23:59:59,2020-12-10 00:00:00,2020-12-10 23:59:59,2020-12-10 19:27:08,2020-12-10 06:01:07,0.9994352,1.00112507,0.995817,1.00050771,6486806.76,23560617.53504402,23548661.59
16,UST,2020-12-11 23:59:59,2020-12-11 00:00:00,2020-12-11 23:59:59,2020-12-11 10:50:10,2020-12-11 12:00:15,1.00070103,1.00146993,0.9959596,0.99860359,15755473.56,23515777.94511244,23548661.59
17,UST,2020-12-12 23:59:59,2020-12-12 00:00:00,2020-12-12 23:59:59,2020-12-12 00:01:07,2020-12-12 00:10:07,0.99860725,1.00125162,0.9925069,0.99948541,3976835.13,23536543.79584274,23548661.59
18,UST,2020-12-13 23:59:59,2020-12-13 00:00:00,2020-12-13 23:59:59,2020-12-13 15:38:07,2020-12-13 23:26:07,0.99946385,1.00062608,0.99658872,0.99843893,793155.75,23511900.45883425,23548661.59
19,UST,2020-12-14 23:59:59,2020-12-14 00:00:00,2020-12-14 23:59:59,2020-12-14 10:13:07,2020-12-14 14:52:07,0.99869722,1.00026275,0.99641127,0.99988421,2752776.31,23545934.91643194,23548661.59
20,UST,2020-12-15 23:59:59,2020-12-15 00:00:00,2020-12-15 23:59:59,2020-12-15 20:50:12,2020-12-15 14:01:08,0.99987747,1.00058543,0.996476,0.99938355,1831152.47,143233458.2262666,143321809.24
21,UST,2020-12-16 23:59:59,2020-12-16 00:00:00,2020-12-16 23:59:59,2020-12-16 23:20:13,2020-12-16 13:44:08,0.99934265,1.00202591,0.98956048,0.99732706,6826785.14,145563467.9750491,145953593.16
22,UST,2020-12-17 23:59:59,2020-12-17 00:00:00,2020-12-17 23:59:59,2020-12-17 18:17:07,2020-12-17 09:18:08,0.99734959,1.00212483,0.98932985,0.99822719,18132243.01,148348514.6402517,148611975.95
23,UST,2020-12-18 23:59:59,2020-12-18 00:00:00,2020-12-18 23:59:59,2020-12-18 18:37:08,2020-12-18 07:40:09,0.99811236,1.00041615,0.99400996,0.99810532,9175014.53,150148517.04908702,150433540.03
24,UST,2020-12-19 23:59:59,2020-12-19 00:00:00,2020-12-19 23:59:59,2020-12-19 15:39:08,2020-12-19 06:49:08,0.99807083,1.0010203,0.98942635,0.99922402,5803228.09,150371947.66012254,150488723.88
25,UST,2020-12-20 23:59:59,2020-12-20 00:00:00,2020-12-20 23:59:59,2020-12-20 05:45:10,2020-12-20 21:30:18,0.99931452,0.99953575,0.98763175,0.99740195,4883891.15,150122339.92907006,150513381.8
26,UST,2020-12-21 23:59:59,2020-12-21 00:00:00,2020-12-21 23:59:59,2020-12-21 18:10:11,2020-12-21 03:36:08,0.99702623,1.00000782,0.99207146,0.99808528,11957191.54,152100687.8584039,152392476.65
27,UST,2020-12-22 23:59:59,2020-12-22 00:00:00,2020-12-22 23:59:59,2020-12-22 05:25:09,2020-12-22 21:33:08,0.99842592,0.99928423,0.98961542,0.99636901,14616395.42,152049142.9886399,152603244.5
