timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2023-01-31T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-31T22:52:00.000Z";"2023-01-31T21:19:00.000Z";"2781";1.0000206699;1.0004307564;0.9996504586;1.0000580659;2960609713.32;42405363468.75;42402901307.51;"2023-01-31T23:59:59.999Z"
"2023-01-30T00:00:00.000Z";"2023-01-30T23:59:59.999Z";"2023-01-30T21:13:00.000Z";"2023-01-30T19:13:00.000Z";"2781";1.0000747593;1.0003334967;0.9995034196;1.0001009658;3562976034.92;42712729289.76;42708417199.16;"2023-01-30T23:59:59.999Z"
"2023-01-29T00:00:00.000Z";"2023-01-29T23:59:59.999Z";"2023-01-29T19:17:00.000Z";"2023-01-29T02:10:00.000Z";"2781";1.0001135747;1.0003929436;0.9996547688;1.0000010326;2963258500.13;43086077902.99;43086033412.89;"2023-01-29T23:59:59.999Z"
"2023-01-28T00:00:00.000Z";"2023-01-28T23:59:59.999Z";"2023-01-28T00:49:00.000Z";"2023-01-28T20:58:00.000Z";"2781";0.9999816199;1.0002646238;0.9996351453;1.0001297874;2554816546.66;43093041224.96;43087449015.32;"2023-01-28T23:59:59.999Z"
"2023-01-27T00:00:00.000Z";"2023-01-27T23:59:59.999Z";"2023-01-27T14:52:00.000Z";"2023-01-27T01:39:00.000Z";"2781";0.9999798033;1.0003878725;0.9995799721;1.0000265842;3615689954.55;43085379436.97;43084234078.75;"2023-01-27T23:59:59.999Z"
"2023-01-26T00:00:00.000Z";"2023-01-26T23:59:59.999Z";"2023-01-26T00:46:00.000Z";"2023-01-26T14:55:00.000Z";"2781";1.0000285465;1.0003386924;0.9996284469;0.9999601858;3258930502.14;43297905509.31;43299629449.98;"2023-01-26T23:59:59.999Z"
"2023-01-25T00:00:00.000Z";"2023-01-25T23:59:59.999Z";"2023-01-25T22:04:00.000Z";"2023-01-25T01:27:00.000Z";"2781";0.9999327359;1.0005062022;0.9995004483;1.0000623988;4154869646.86;43491997137.64;43489283458.53;"2023-01-25T23:59:59.999Z"
"2023-01-24T00:00:00.000Z";"2023-01-24T23:59:59.999Z";"2023-01-24T02:21:00.000Z";"2023-01-24T22:29:00.000Z";"2781";0.9998259186;1.0003212036;0.9990892893;0.9999581854;3576076256.6;43614916486.19;43616740300.58;"2023-01-24T23:59:59.999Z"
"2023-01-23T00:00:00.000Z";"2023-01-23T23:59:59.999Z";"2023-01-23T14:54:00.000Z";"2023-01-23T15:01:00.000Z";"2781";0.9998365941;1.0004258998;0.9994233676;0.9998580394;3419783936.23;43485738354.43;43491912490.29;"2023-01-23T23:59:59.999Z"
"2023-01-22T00:00:00.000Z";"2023-01-22T23:59:59.999Z";"2023-01-22T12:49:00.000Z";"2023-01-22T20:54:00.000Z";"2781";0.9998605261;1.0003855003;0.9994306915;0.999976225;3227947507.01;43480831666.18;43481865446.09;"2023-01-22T23:59:59.999Z"
"2023-01-21T00:00:00.000Z";"2023-01-21T23:59:59.999Z";"2023-01-21T00:08:00.000Z";"2023-01-21T10:28:00.000Z";"2781";1.000298291;1.0005046216;0.9991431729;0.9998404762;3742948233.77;43349621955.78;43356538353.5;"2023-01-21T23:59:59.999Z"
"2023-01-20T00:00:00.000Z";"2023-01-20T23:59:59.999Z";"2023-01-20T21:06:00.000Z";"2023-01-20T06:17:00.000Z";"2781";1.0000416162;1.0006806853;0.9996666011;1.0002654042;3444375885.21;43107645804.63;43096207892.09;"2023-01-20T23:59:59.999Z"
"2023-01-19T00:00:00.000Z";"2023-01-19T23:59:59.999Z";"2023-01-19T15:08:00.000Z";"2023-01-19T12:49:00.000Z";"2781";0.9997963725;1.0003080212;0.9997432893;1.0000240661;3098920630.97;42879100827.88;42878068920.81;"2023-01-19T23:59:59.999Z"
