timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2023-01-31T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-31T16:07:00.000Z";"2023-01-31T00:40:00.000Z";"2781";0.0213721383;0.0261139352;0.0213135734;0.0249954189;73910933.43;244995027.35;9801597194.12;"2023-01-31T23:59:59.999Z"
"2023-01-30T00:00:00.000Z";"2023-01-30T23:59:59.999Z";"2023-01-30T00:54:00.000Z";"2023-01-30T22:46:00.000Z";"2781";0.0222099018;0.0223280108;0.0211103895;0.0213674461;10495072.43;209439185.5;9801788417.38;"2023-01-30T23:59:59.999Z"
"2023-01-29T00:00:00.000Z";"2023-01-29T23:59:59.999Z";"2023-01-29T22:16:00.000Z";"2023-01-29T23:49:00.000Z";"2781";0.0224928223;0.0226358341;0.022150338;0.0222116343;10106264.49;217714951.36;9801842942.13;"2023-01-29T23:59:59.999Z"
"2023-01-28T00:00:00.000Z";"2023-01-28T23:59:59.999Z";"2023-01-28T11:05:00.000Z";"2023-01-28T00:19:00.000Z";"2781";0.0220733334;0.0226262724;0.021968531;0.0224930516;11783449.89;220474787.93;9801906458.83;"2023-01-28T23:59:59.999Z"
"2023-01-27T00:00:00.000Z";"2023-01-27T23:59:59.999Z";"2023-01-27T17:58:00.000Z";"2023-01-27T11:36:00.000Z";"2781";0.0220819711;0.0225558556;0.0215885948;0.0221029612;9760094.24;216652081.97;9801948265.75;"2023-01-27T23:59:59.999Z"
"2023-01-26T00:00:00.000Z";"2023-01-26T23:59:59.999Z";"2023-01-26T03:10:00.000Z";"2023-01-26T16:12:00.000Z";"2781";0.0221871117;0.0224655372;0.0218435918;0.0220763196;9226091.21;216391725.18;9801983704.51;"2023-01-26T23:59:59.999Z"
"2023-01-25T00:00:00.000Z";"2023-01-25T23:59:59.999Z";"2023-01-25T22:10:00.000Z";"2023-01-25T01:31:00.000Z";"2781";0.0216216116;0.0225002036;0.021324468;0.0222042653;8826443;217646165.04;9801998050.5;"2023-01-25T23:59:59.999Z"
"2023-01-24T00:00:00.000Z";"2023-01-24T23:59:59.999Z";"2023-01-24T07:57:00.000Z";"2023-01-24T23:23:00.000Z";"2781";0.0229763566;0.0231853882;0.0216228658;0.021631553;9045388.97;212033118.94;9802029403.59;"2023-01-24T23:59:59.999Z"
"2023-01-23T00:00:00.000Z";"2023-01-23T23:59:59.999Z";"2023-01-23T07:06:00.000Z";"2023-01-23T19:53:00.000Z";"2781";0.0230591222;0.0234145234;0.0228100509;0.0229656496;10570469.99;225110682.71;9802060310.86;"2023-01-23T23:59:59.999Z"
"2023-01-22T00:00:00.000Z";"2023-01-22T23:59:59.999Z";"2023-01-22T11:55:00.000Z";"2023-01-22T21:15:00.000Z";"2781";0.0230177638;0.0238711026;0.022722045;0.0230556415;15718043.79;225994096.28;9802117036.78;"2023-01-22T23:59:59.999Z"
"2023-01-21T00:00:00.000Z";"2023-01-21T23:59:59.999Z";"2023-01-21T17:19:00.000Z";"2023-01-21T10:58:00.000Z";"2781";0.02319213;0.0242324274;0.0225977059;0.0230370485;18836447.9;225811947.85;9802121457.89;"2023-01-21T23:59:59.999Z"
"2023-01-20T00:00:00.000Z";"2023-01-20T23:59:59.999Z";"2023-01-20T22:40:00.000Z";"2023-01-20T09:29:00.000Z";"2781";0.0222062203;0.0233042493;0.0217744746;0.0231978026;10235828.01;227388838.31;9802171467.8;"2023-01-20T23:59:59.999Z"
"2023-01-19T00:00:00.000Z";"2023-01-19T23:59:59.999Z";"2023-01-19T16:25:00.000Z";"2023-01-19T13:22:00.000Z";"2781";0.02168314;0.0223761505;0.0211217525;0.0222110283;12809487.43;217716457.05;9802178203.4;"2023-01-19T23:59:59.999Z"
"2023-01-18T00:00:00.000Z";"2023-01-18T23:59:59.999Z";"2023-01-18T06:45:00.000Z";"2023-01-18T16:52:00.000Z";"2781";0.0236621161;0.0240573597;0.021169431;0.0216852504;18319409.24;212563881.1;9802233190.38;"2023-01-18T23:59:59.999Z"
"2023-01-17T00:00:00.000Z";"2023-01-17T23:59:59.999Z";"2023-01-17T15:25:00.000Z";"2023-01-17T23:58:00.000Z";"2781";0.0241472158;0.0245982077;0.0236716436;0.0236746473;10936639.07;232068117.43;9802389656.84;"2023-01-17T23:59:59.999Z"
"2023-01-16T00:00:00.000Z";"2023-01-16T23:59:59.999Z";"2023-01-16T06:05:00.000Z";"2023-01-16T15:46:00.000Z";"2781";0.0259675422;0.0268502639;0.0237696071;0.0241454963;30045238.85;236685947.56;9802488392.03;"2023-01-16T23:59:59.999Z"
"2023-01-15T00:00:00.000Z";"2023-01-15T23:59:59.999Z";"2023-01-15T17:46:00.000Z";"2023-01-15T01:22:00.000Z";"2781";0.0232089653;0.0266565363;0.0229146581;0.0259642851;61420910.5;254517127.27;9802585595.09;"2023-01-15T23:59:59.999Z"
"2023-01-14T00:00:00.000Z";"2023-01-14T23:59:59.999Z";"2023-01-14T06:47:00.000Z";"2023-01-14T00:03:00.000Z";"2781";0.0222026173;0.0241297537;0.0221898178;0.023207891;26337919.58;227500140.21;9802706317.36;"2023-01-14T23:59:59.999Z"
"2023-01-13T00:00:00.000Z";"2023-01-13T23:59:59.999Z";"2023-01-13T22:24:00.000Z";"2023-01-13T00:47:00.000Z";"2781";0.0216057578;0.0222790615;0.0215671214;0.0222117174;10904192.66;217733806.01;9802655135.65;"2023-01-13T23:59:59.999Z"
"2023-01-12T00:00:00.000Z";"2023-01-12T23:59:59.999Z";"2023-01-12T21:25:00.000Z";"2023-01-12T14:58:00.000Z";"2781";0.0213755506;0.0216708018;0.0210766496;0.0216048369;10594812.43;211785667.42;9802696883.74;"2023-01-12T23:59:59.999Z"
"2023-01-11T00:00:00.000Z";"2023-01-11T23:59:59.999Z";"2023-01-11T07:44:00.000Z";"2023-01-11T16:01:00.000Z";"2781";0.021304333;0.0214428259;0.0209210017;0.0213748776;7792725.58;209532408.46;9802741921.64;"2023-01-11T23:59:59.999Z"
"2023-01-10T00:00:00.000Z";"2023-01-10T23:59:59.999Z";"2023-01-10T10:07:00.000Z";"2023-01-10T04:13:00.000Z";"2781";0.0213105474;0.0217863777;0.0210117319;0.0213073863;10410475.64;208871908.23;9802793499.05;"2023-01-10T23:59:59.999Z"
"2023-01-09T00:00:00.000Z";"2023-01-09T23:59:59.999Z";"2023-01-09T17:16:00.000Z";"2023-01-09T00:04:00.000Z";"2781";0.0203769937;0.0224813018;0.0203727439;0.0213119665;20009838.82;208917590.72;9802830283.87;"2023-01-09T23:59:59.999Z"
"2023-01-08T00:00:00.000Z";"2023-01-08T23:59:59.999Z";"2023-01-08T23:17:00.000Z";"2023-01-08T13:16:00.000Z";"2781";0.0201286106;0.0204088178;0.020116055;0.0204024888;5489331.95;200004072.33;9802925241.6;"2023-01-08T23:59:59.999Z"
"2023-01-07T00:00:00.000Z";"2023-01-07T23:59:59.999Z";"2023-01-07T04:06:00.000Z";"2023-01-07T22:12:00.000Z";"2781";0.0202747263;0.0204536703;0.0200826625;0.0201422049;4461347.13;197452824.21;9802939911.41;"2023-01-07T23:59:59.999Z"
