PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,20,2021-05-20,2022-05-14,8.020780617703394,3.9967782738555067,0.98685071,0.1964422567
PC10,19,2021-04-10,2022-05-07,4.734902630176977,2.7604921564712157,0.9978788,0.9968681918
PC2,19,2021-05-19,2022-05-14,3.874126904214655,2.7979908808064753,0.9948682,0.1964422567
PC3,27,2021-05-04,2022-05-14,4.527577233865075,2.8342536591557024,0.99550782,0.1964422567
PC4,19,2021-05-22,2022-05-07,4.864312699495979,2.804167481366722,0.98542967,0.9968681918
PC5,23,2021-04-18,2022-03-21,3.709861322874622,2.7319863054712514,0.99632065,1.0012536395
PC6,20,2021-04-09,2022-05-08,5.7296266944344705,2.688518621536994,1.00074073,0.9964005505
PC7,20,2021-04-10,2022-05-11,4.471404052147818,2.5905541599567146,0.9978788,0.8011371728
PC8,20,2021-05-03,2022-05-01,4.160219829341076,2.586383488324932,1.00072672,1.001649225
PC9,21,2021-04-07,2022-05-05,5.745029764044558,2.6410760546705463,0.99438775,0.9995462775
