PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,27,2021-04-17,2025-11-22,8.755574365896564,4.225504495114905,1.01031107,0.997211076
PC10,19,2021-05-01,2025-10-09,4.70325493364044,3.4601200678633255,0.9992141,1.0006587027
PC2,26,2022-02-12,2025-11-24,6.168307630634371,4.037984474883611,0.9992907509,0.9976169905
PC3,23,2021-05-12,2026-02-24,6.019892879618546,3.9955420634243257,0.99958314,1.0001752617
PC4,20,2021-04-18,2025-11-25,5.538031443666318,3.787500082276984,0.99798716,0.998708481
PC5,22,2021-03-29,2025-12-05,5.698388235033145,3.5576405292268887,1.00142613,1.0000565082
PC6,21,2021-04-18,2026-02-24,5.213582555623251,3.650360678016885,0.99798716,1.0001752617
PC7,17,2021-09-08,2025-09-17,6.267672698513665,3.7113687661571215,0.99258059,0.9996202013
PC8,16,2021-09-06,2025-10-09,5.308161152061959,3.7189281994851253,1.0008915,1.0006587027
PC9,18,2021-09-21,2025-11-25,4.193842233419715,3.5344900665069927,1.0000464027,0.998708481
