hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-05-20,2.2892733920776642,PC1,upper,2.2892733920776642,0.98685071
2021-05-21,2.6580857002710205,PC1,upper,2.6580857002710205,0.98377839
2021-05-22,2.5592365929303007,PC1,upper,2.5592365929303007,0.98542967
2021-05-23,5.3212641387967405,PC1,upper,5.3212641387967405,0.94569207
2021-05-24,2.3065200098643297,PC1,upper,2.3065200098643297,0.98502072
2021-05-25,2.108517898059558,PC1,upper,2.108517898059558,0.98923694
2021-11-10,-3.0018480848361766,PC1,lower,3.0018480848361766,1.0037715659
2021-11-11,-2.9712121352491034,PC1,lower,2.9712121352491034,1.0042276822
2021-11-12,-2.9797804316378245,PC1,lower,2.9797804316378245,1.0034394404
2021-11-13,-3.548514490170106,PC1,lower,3.548514490170106,1.0077274139
2021-11-14,-3.1723011465258715,PC1,lower,3.1723011465258715,1.0067272363
2021-11-15,-2.8232054106195115,PC1,lower,2.8232054106195115,1.0049677817
2021-11-16,-2.871009270916708,PC1,lower,2.871009270916708,1.0049003432
2021-11-17,-2.225913250492203,PC1,lower,2.225913250492203,1.0032074873
2022-05-09,-8.020780617703394,PC1,lower,8.020780617703394,0.7933928223
2022-05-10,6.528389253147872,PC1,upper,6.528389253147872,0.7999187904
2022-05-11,6.444379572443863,PC1,upper,6.444379572443863,0.8011371728
2022-05-12,7.4176850364331965,PC1,upper,7.4176850364331965,0.4085840617
2022-05-13,6.274207240094602,PC1,upper,6.274207240094602,0.1540016054
2022-05-14,-4.413441804840087,PC1,lower,4.413441804840087,0.1964422567
2021-04-10,-2.0776439309136756,PC10,lower,2.0776439309136756,0.9978788
2021-05-01,-4.080208514149845,PC10,lower,4.080208514149845,0.99920499
2021-05-02,3.1747695859441216,PC10,upper,3.1747695859441216,0.99996984
2021-05-04,2.2669761738359564,PC10,upper,2.2669761738359564,0.99550782
2021-05-14,-2.802769483242067,PC10,lower,2.802769483242067,0.99910146
2021-07-02,2.064206342024256,PC10,upper,2.064206342024256,0.99972204
2021-08-01,2.0502560871342426,PC10,upper,2.0502560871342426,1.00087896
2021-08-20,-2.201248144229012,PC10,lower,2.201248144229012,1.00472516
2021-08-24,2.4734634626591965,PC10,upper,2.4734634626591965,1.00063061
2021-09-11,-3.559434384702996,PC10,lower,3.559434384702996,1.00425102
2021-09-21,-3.9601064868111022,PC10,lower,3.9601064868111022,1.0000554001
2021-09-22,-2.752923132641622,PC10,lower,2.752923132641622,1.0005407953
2021-11-16,4.734902630176977,PC10,upper,4.734902630176977,1.0049003432
2021-11-23,2.872638651159733,PC10,upper,2.872638651159733,1.0008684821
2021-12-01,2.351786623746063,PC10,upper,2.351786623746063,1.0036832741
2022-02-09,2.7723376879222865,PC10,upper,2.7723376879222865,0.9999337758
2022-02-22,2.010955929104832,PC10,upper,2.010955929104832,1.0047103994
2022-03-05,2.1242867186415832,PC10,upper,2.1242867186415832,1.0065574183
2022-05-07,-2.1184370039135354,PC10,lower,2.1184370039135354,0.9968681918
2021-05-19,2.4355491885528044,PC2,upper,2.4355491885528044,0.9948682
2021-05-20,3.2333304294680243,PC2,upper,3.2333304294680243,0.98685071
2021-05-21,3.494799718301262,PC2,upper,3.494799718301262,0.98377839
2021-05-22,2.818796284954391,PC2,upper,2.818796284954391,0.98542967
2021-05-23,-3.874126904214655,PC2,lower,3.874126904214655,0.94569207
2021-05-30,-2.375895323915684,PC2,lower,2.375895323915684,0.9994029
2021-08-18,-2.0205219798867895,PC2,lower,2.0205219798867895,1.00301414
2021-09-07,2.4198623522257874,PC2,upper,2.4198623522257874,1.00029963
2021-09-10,2.794647251931765,PC2,upper,2.794647251931765,1.00584024
2021-11-16,-2.125527406726093,PC2,lower,2.125527406726093,1.0049003432
2021-11-20,-2.2138193083428486,PC2,lower,2.2138193083428486,1.0011180913
2021-11-23,-2.286872910339332,PC2,lower,2.286872910339332,1.0008684821
2021-11-30,2.705136067077154,PC2,upper,2.705136067077154,1.0097814346
2022-01-28,3.796806257405592,PC2,upper,3.796806257405592,0.9951491453
2022-05-10,2.1584789689490016,PC2,upper,2.1584789689490016,0.7999187904
2022-05-11,3.0744950901578734,PC2,upper,3.0744950901578734,0.8011371728
2022-05-12,-2.2044005299765,PC2,lower,2.2044005299765,0.4085840617
2022-05-13,-3.5197465518532023,PC2,lower,3.5197465518532023,0.1540016054
2022-05-14,-3.609014211044277,PC2,lower,3.609014211044277,0.1964422567
2021-05-04,2.1749977177803075,PC3,upper,2.1749977177803075,0.99550782
2021-05-20,-2.433121223264653,PC3,lower,2.433121223264653,0.98685071
2021-05-24,3.9215707631544667,PC3,upper,3.9215707631544667,0.98502072
2021-05-25,2.2883187242502956,PC3,upper,2.2883187242502956,0.98923694
2021-05-26,2.66334959494759,PC3,upper,2.66334959494759,0.99889161
2021-06-21,2.282455627375509,PC3,upper,2.282455627375509,0.99714304
2021-11-10,3.5935885250066733,PC3,upper,3.5935885250066733,1.0037715659
2021-11-11,2.6300685007187896,PC3,upper,2.6300685007187896,1.0042276822
2021-11-12,-2.4072768205159147,PC3,lower,2.4072768205159147,1.0034394404
2021-12-21,-2.0026298436439514,PC3,lower,2.0026298436439514,1.0072152645
2022-01-05,4.527577233865075,PC3,upper,4.527577233865075,0.9992270206
2022-01-06,3.326549353901492,PC3,upper,3.326549353901492,1.0001158308
2022-01-07,3.3201933915702995,PC3,upper,3.3201933915702995,1.0004331922
2022-01-08,2.300241646307354,PC3,upper,2.300241646307354,0.9999079507
2022-01-09,4.026289317089873,PC3,upper,4.026289317089873,0.9968495452
2022-01-10,3.584757960045301,PC3,upper,3.584757960045301,0.9970154101
2022-01-11,2.768554577125314,PC3,upper,2.768554577125314,0.9982700575
2022-01-12,2.313949877046526,PC3,upper,2.313949877046526,0.9982821375
2022-01-14,2.2482023554620443,PC3,upper,2.2482023554620443,0.9967698686
2022-01-21,2.5989833734289394,PC3,upper,2.5989833734289394,0.9997258521
2022-01-22,2.3200081876792007,PC3,upper,2.3200081876792007,0.9981276435
2022-01-24,2.0620481348160724,PC3,upper,2.0620481348160724,1.0004264817
2022-01-27,2.042693267674497,PC3,upper,2.042693267674497,0.9964859731
