stablecoin,hit_date,PC,z_score,close_price,matched_depeg_date,lead_time_days,is_matched
DAI,2021-04-04,PC1,3.44162794402304,1.00671266,2021-04-08,4.0,True
DAI,2021-04-08,PC1,3.372841225395754,1.00611501,,,False
DAI,2021-11-10,PC1,-3.472487997923387,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC6,6.509323407123144,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC7,4.219966039398825,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-11,PC10,-3.829890929376981,1.0053536445,,,False
DAI,2021-11-11,PC6,3.9922579319981177,1.0053536445,,,False
DAI,2021-11-11,PC7,4.336199473817681,1.0053536445,,,False
DAI,2021-11-12,PC1,-3.025792841416875,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC6,5.281989690233261,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC7,4.19428407543428,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-13,PC6,4.065889596945628,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC7,4.414444346279805,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-14,PC1,-3.0628757060494416,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC4,-3.382355773758491,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC6,4.005439629248811,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC7,4.593447079187769,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-15,PC3,-3.5114366209720123,1.0001597113,2021-11-19,4.0,True
DAI,2021-11-15,PC6,5.95390242572721,1.0001597113,2021-11-19,4.0,True
DAI,2021-11-15,PC7,3.2014775990064166,1.0001597113,2021-11-19,4.0,True
DAI,2021-11-16,PC1,-11.977151835311629,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC10,-30.506666969506117,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC2,-12.832906180040593,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC3,17.96237928653475,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC4,-12.73737320892668,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC5,-33.11455638464144,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC6,27.94506248802095,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC7,-30.768853005452527,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC8,40.08896308720926,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC9,36.171306881890985,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-17,PC1,7.953395877469337,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC10,-8.424696218269801,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC2,-4.425365845710781,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC5,-9.551558137249804,1.0030699995,2021-11-19,2.0,True
