hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-04-18,-3.131602978570886,PC1,lower,3.131602978570886,0.99915892
2021-05-19,3.3688838223948245,PC1,upper,3.3688838223948245,1.00063869
2021-11-10,5.883487653405972,PC1,upper,5.883487653405972,0.9877538364
2021-12-14,-4.241606965752564,PC1,lower,4.241606965752564,0.9994511007
2022-05-08,3.506040249296863,PC1,upper,3.506040249296863,0.9995645261
2022-05-09,4.347547534277834,PC1,upper,4.347547534277834,0.9983388626
2022-05-11,4.474481250246649,PC1,upper,4.474481250246649,1.0012738315
2022-05-12,3.3735453765523555,PC1,upper,3.3735453765523555,1.0010548216
2022-11-10,3.9389739695869994,PC1,upper,3.9389739695869994,1.0022584546
2023-02-10,4.083485478604613,PC1,upper,4.083485478604613,0.9992522412
2023-03-11,6.748118847526027,PC1,upper,6.748118847526027,0.973868652
2023-03-12,3.8244096567310053,PC1,upper,3.8244096567310053,0.9925845914
2023-06-15,4.291818788063219,PC1,upper,4.291818788063219,0.9997578219
2023-08-07,-3.246010755972159,PC1,lower,3.246010755972159,1.0001027803
2023-08-08,-3.0091041397395517,PC1,lower,3.0091041397395517,0.9997875439
2023-11-13,-3.2342182101603867,PC1,lower,3.2342182101603867,0.9987229428
2023-11-21,3.5587441554634527,PC1,upper,3.5587441554634527,0.9979210507
2024-08-17,-4.017746414708922,PC1,lower,4.017746414708922,0.9999650715
2021-10-16,-3.759243554862568,PC10,lower,3.759243554862568,1.00000634
2021-12-11,3.5601788773532066,PC10,upper,3.5601788773532066,1.002636818
2021-12-31,-3.022953129428787,PC10,lower,3.022953129428787,0.9990799369
2022-07-24,-3.0203070763745288,PC10,lower,3.0203070763745288,0.9997873804
2022-08-13,3.2126782072961997,PC10,upper,3.2126782072961997,0.9996098739
2022-09-22,3.4026173507773496,PC10,upper,3.4026173507773496,0.9996858186
2023-01-29,-3.1213248886101,PC10,lower,3.1213248886101,0.9999174613
2023-02-25,3.0719151240276057,PC10,upper,3.0719151240276057,1.0006751792
2024-09-07,3.0137536835164997,PC10,upper,3.0137536835164997,1.0000135822
2024-09-14,4.373671533255507,PC10,upper,4.373671533255507,1.0000020741
2025-04-07,-4.004504164594345,PC10,lower,4.004504164594345,0.9999711691
2021-11-11,4.743938187433371,PC2,upper,4.743938187433371,1.0053536445
2022-11-08,-3.4148164445137588,PC2,lower,3.4148164445137588,0.9996178772
2023-03-12,3.8212839842836837,PC2,upper,3.8212839842836837,0.9925845914
2023-04-10,-3.3325470280569114,PC2,lower,3.3325470280569114,1.0001095732
2025-04-06,4.002230143609565,PC2,upper,4.002230143609565,1.0000604478
2025-07-09,-3.5404251714427892,PC2,lower,3.5404251714427892,1.0001592354
2021-03-22,3.2814536792906264,PC3,upper,3.2814536792906264,0.99962078
2021-07-26,3.6410455521860854,PC3,upper,3.6410455521860854,1.00069803
2022-06-17,-3.577701438534963,PC3,lower,3.577701438534963,1.0003938752
2022-11-09,3.1120472756919524,PC3,upper,3.1120472756919524,1.0002454777
