stablecoin,hit_date,PC,z_score,close_price,matched_depeg_date,lead_time_days,is_matched
DAI,2021-03-18,PC9,3.930159091820444,1.00237566,2021-03-20,2.0,True
DAI,2021-04-17,PC1,-3.0827208849376726,1.0103104,,,False
DAI,2021-04-17,PC2,3.16062094041949,1.0103104,,,False
DAI,2021-04-17,PC5,4.140365640739123,1.0103104,,,False
DAI,2021-04-17,PC9,3.3588045255312027,1.0103104,,,False
DAI,2021-04-18,PC1,3.5451842686605746,0.99915892,,,False
DAI,2021-11-10,PC1,-6.629102900683053,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC2,-5.513573445898185,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC5,9.833563348026981,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC8,4.2353365581098394,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-10,PC9,-4.612733283098272,0.9877538364,2021-11-11,1.0,True
DAI,2021-11-11,PC4,-7.531251834414037,1.0053536445,,,False
DAI,2021-11-11,PC5,7.064430116462241,1.0053536445,,,False
DAI,2021-11-11,PC7,7.489575833561588,1.0053536445,,,False
DAI,2021-11-11,PC8,5.243785060905798,1.0053536445,,,False
DAI,2021-11-11,PC9,-6.638179972875173,1.0053536445,,,False
DAI,2021-11-12,PC1,-3.741383323081175,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC2,-3.5815620853116052,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC4,-4.942351712419284,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC5,8.333307831942397,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC7,3.5088046185775252,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC8,5.347542432054788,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-12,PC9,-3.86431798209062,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-13,PC1,-3.4657546207628176,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC2,-3.3941899666950173,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC4,-5.062196704832763,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC5,8.070889448740633,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC7,3.998136291436946,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC8,5.359424308971405,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-13,PC9,-4.158228799089453,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-14,PC1,-3.7326071156455782,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC2,-3.7221090217676847,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC4,-4.949795847898448,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC5,7.728467216384876,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC7,3.752266314266761,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC8,5.013948787681581,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-14,PC9,-4.662927106686419,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-16,PC1,-21.72966690105566,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC10,33.384530197410875,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC2,-23.18404359368271,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC3,33.74511497404176,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC4,-20.604004357488176,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC5,11.389346884881347,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC6,-16.423229047564266,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC7,-30.110784264979802,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC8,-22.997693103244124,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-16,PC9,-25.380934097422898,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-17,PC1,-5.8224880888629675,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC10,11.852353754491354,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC2,-6.730031691355324,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC3,10.593128330179098,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC4,-9.946749454472778,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC5,5.13129443941695,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC6,-7.457350871803939,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC7,-7.972230233363392,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC8,-5.13582367090126,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-17,PC9,-5.677194276249926,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-18,PC1,-3.0767723056428893,0.9964562056,2021-11-19,1.0,True
DAI,2021-11-18,PC5,4.5941252070719205,0.9964562056,2021-11-19,1.0,True
DAI,2021-11-18,PC8,3.161557553142346,0.9964562056,2021-11-19,1.0,True
DAI,2021-11-19,PC4,-5.07549648832346,1.0048333304,2021-11-20,1.0,True
DAI,2021-11-19,PC5,4.067749734865018,1.0048333304,2021-11-20,1.0,True
DAI,2021-11-19,PC7,3.3783733653977954,1.0048333304,2021-11-20,1.0,True
DAI,2021-11-19,PC8,3.44507245497642,1.0048333304,2021-11-20,1.0,True
DAI,2021-11-20,PC4,-4.873594437542852,1.0074067795,2021-11-23,3.0,True
DAI,2021-11-20,PC5,5.311199399797157,1.0074067795,2021-11-23,3.0,True
DAI,2021-11-20,PC8,4.347009264974551,1.0074067795,2021-11-23,3.0,True
DAI,2021-11-21,PC1,-3.2181847017778944,0.9969374162,2021-11-23,2.0,True
DAI,2021-11-21,PC5,5.975225173138098,0.9969374162,2021-11-23,2.0,True
DAI,2021-11-21,PC8,4.042806686116121,0.9969374162,2021-11-23,2.0,True
DAI,2021-11-22,PC1,-3.3356537709155463,0.9967034445,2021-11-23,1.0,True
DAI,2021-11-22,PC4,-3.6944631507007832,0.9967034445,2021-11-23,1.0,True
DAI,2021-11-22,PC5,5.581010308726117,0.9967034445,2021-11-23,1.0,True
DAI,2021-11-22,PC8,3.3879793653964803,0.9967034445,2021-11-23,1.0,True
DAI,2021-11-23,PC4,-5.9732838445661365,1.0075260721,2021-11-24,1.0,True
DAI,2021-11-23,PC5,5.5885453294399285,1.0075260721,2021-11-24,1.0,True
DAI,2021-11-23,PC7,4.351693697440401,1.0075260721,2021-11-24,1.0,True
DAI,2021-11-23,PC8,4.365385599614751,1.0075260721,2021-11-24,1.0,True
DAI,2021-11-23,PC9,-3.004306390962838,1.0075260721,2021-11-24,1.0,True
DAI,2021-11-24,PC4,-4.078070823977,1.0047285533,2021-11-29,5.0,True
DAI,2021-11-24,PC5,6.237777784974809,1.0047285533,2021-11-29,5.0,True
DAI,2021-11-24,PC8,4.517967246822564,1.0047285533,2021-11-29,5.0,True
DAI,2021-11-25,PC4,-4.127406421859958,1.0016640228,2021-11-29,4.0,True
DAI,2021-11-25,PC5,5.412029322639123,1.0016640228,2021-11-29,4.0,True
DAI,2021-11-25,PC8,3.8123027428753398,1.0016640228,2021-11-29,4.0,True
DAI,2021-11-26,PC5,4.656572301447464,0.9992012427,2021-11-29,3.0,True
DAI,2021-11-26,PC8,3.303672248489254,0.9992012427,2021-11-29,3.0,True
DAI,2021-11-27,PC5,3.6872202207734484,1.0004002577,2021-11-29,2.0,True
DAI,2021-11-28,PC4,-3.649788945680121,1.0005169904,2021-11-29,1.0,True
DAI,2021-11-29,PC4,-4.77771192260618,1.0046998648,2021-12-06,7.0,True
DAI,2021-11-29,PC5,3.27284911493793,1.0046998648,2021-12-06,7.0,True
DAI,2021-11-30,PC5,3.3488008506615334,1.0002122889,2021-12-06,6.0,True
DAI,2021-12-01,PC5,3.9465630996797674,0.9979849611,2021-12-06,5.0,True
DAI,2021-12-02,PC4,-3.376465027629986,0.9974584753,2021-12-06,4.0,True
DAI,2021-12-02,PC5,4.3816062493476196,0.9974584753,2021-12-06,4.0,True
DAI,2021-12-03,PC4,-3.935902078580177,0.9966161525,2021-12-06,3.0,True
DAI,2021-12-03,PC5,5.156918810013112,0.9966161525,2021-12-06,3.0,True
DAI,2021-12-04,PC4,-4.89556453328521,1.0007645864,2021-12-06,2.0,True
DAI,2021-12-04,PC5,4.061383933247466,1.0007645864,2021-12-06,2.0,True
DAI,2021-12-05,PC4,-4.070412487953908,0.9990486749,2021-12-06,1.0,True
DAI,2021-12-05,PC5,4.932563881386037,0.9990486749,2021-12-06,1.0,True
DAI,2021-12-05,PC8,3.01694014324497,0.9990486749,2021-12-06,1.0,True
DAI,2021-12-06,PC4,-6.434439970842131,1.0098407603,,,False
DAI,2021-12-06,PC5,6.040230093268536,1.0098407603,,,False
DAI,2021-12-06,PC7,4.413840717826177,1.0098407603,,,False
DAI,2021-12-06,PC8,4.106604568998543,1.0098407603,,,False
DAI,2021-12-06,PC9,-3.9604768993288126,1.0098407603,,,False
DAI,2021-12-07,PC4,4.371808144618123,0.9972688275,,,False
DAI,2021-12-08,PC4,3.211933816238141,1.0007137029,,,False
