window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
expanding,USDC,PC4,32,32,19,2.6,0.59375,0.59375,0.59375,0.9929691725256896,"[Timestamp('2021-03-19 00:00:00'), Timestamp('2021-03-20 00:00:00'), Timestamp('2021-03-22 00:00:00'), Timestamp('2021-03-24 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-04-14 00:00:00'), Timestamp('2021-04-16 00:00:00'), Timestamp('2021-06-18 00:00:00'), Timestamp('2021-06-19 00:00:00'), Timestamp('2021-06-26 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2021-03-19 00:00:00'), Timestamp('2021-03-20 00:00:00'), Timestamp('2021-03-22 00:00:00'), Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2021-04-07 00:00:00'), Timestamp('2021-04-11 00:00:00'), Timestamp('2021-04-14 00:00:00'), Timestamp('2021-06-12 00:00:00'), Timestamp('2021-06-18 00:00:00'), Timestamp('2021-06-19 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00')]",0.999905093290625
expanding,USDC,PC3,19,32,15,2.2222222222222223,0.7894736842105263,0.42857142857142855,0.5555555555555555,0.9978331527627302,"[Timestamp('2021-04-04 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-04-07 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-04-11 00:00:00'), Timestamp('2021-04-14 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-04-07 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-04-11 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00')]",0.9991507742631578
expanding,USDC,PC10,18,32,11,2.3333333333333335,0.6111111111111112,0.34375,0.44000000000000006,0.9962080173347779,"[Timestamp('2021-03-20 00:00:00'), Timestamp('2021-03-22 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-03-19 00:00:00'), Timestamp('2021-03-20 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00')]",0.9988163646333332
expanding,USDC,PC8,13,32,9,3.0,0.6923076923076923,0.2647058823529412,0.3829787234042553,0.9978331527627302,"[Timestamp('2021-03-20 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-03-19 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-13 00:00:00')]",0.9984747336846153
expanding,USDC,PC2,10,32,8,2.5,0.8,0.2222222222222222,0.3478260869565218,0.9989171629669734,"[Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00'), Timestamp('2023-03-21 00:00:00')]","[Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]",0.99575150916
expanding,USDC,PC1,11,32,7,2.5,0.6363636363636364,0.2,0.30434782608695654,0.997836668469443,"[Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00'), Timestamp('2023-03-21 00:00:00')]","[Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]",0.9972022313636363
expanding,USDC,PC7,13,32,7,2.0,0.5384615384615384,0.2692307692307692,0.3589743589743589,0.9967585089141004,"[Timestamp('2021-03-19 00:00:00'), Timestamp('2021-03-20 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-12-05 00:00:00'), Timestamp('2021-12-10 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2021-03-19 00:00:00'), Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-04 00:00:00'), Timestamp('2021-12-02 00:00:00'), Timestamp('2021-12-05 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9989526280384617
expanding,USDC,PC5,7,32,6,2.5,0.8571428571428571,0.2,0.32432432432432434,0.9994591671173607,"[Timestamp('2021-04-04 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-04-03 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00')]",0.9964522818428572
expanding,USDC,PC6,21,32,6,2.6666666666666665,0.2857142857142857,0.21428571428571427,0.24489795918367344,0.9918918918918919,"[Timestamp('2021-04-06 00:00:00'), Timestamp('2021-12-02 00:00:00'), Timestamp('2021-12-16 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-04-05 00:00:00'), Timestamp('2021-11-27 00:00:00'), Timestamp('2021-12-10 00:00:00'), Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-18 00:00:00')]",0.9987507943190476
expanding,USDC,PC9,10,32,4,2.6666666666666665,0.4,0.125,0.19047619047619047,0.9967550027041644,"[Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-13 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2023-03-11 00:00:00'), Timestamp('2023-03-12 00:00:00'), Timestamp('2023-03-14 00:00:00')]",0.9973649313599999
