coin,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,0.7143,0.1429,0.2381,0.9892,2.6,0.28,5,2,184,30
USDC,0.0157,0.2778,0.0296,0.1677,3.87,24.18,15,943,190,39
DAI,0.0371,0.8542,0.0712,0.0667,3.29,27.26,41,1063,76,7
USDT,0.0349,0.9714,0.0675,0.1849,3.91,24.08,34,939,213,1
USDP,0.1466,1.0,0.2557,0.1835,3.69,21.8,146,850,191,0
