PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,14,2021-03-19,2025-05-21,9.090387962654741,3.9459620296895985,1.0024375,0.9998966177
PC10,8,2021-04-24,2024-01-28,4.807794555758881,3.4920657911820157,1.00006491,1.0001225105
PC2,21,2021-03-17,2026-02-05,4.803011420741231,3.633212457036994,0.99890232,0.9999204461
PC3,18,2021-04-18,2025-11-03,5.672607729750128,3.6615459716708694,1.00009452,0.9999010574
PC4,13,2021-11-21,2026-01-30,3.914391435829987,3.3071062747703377,1.0002346445,0.9997646619
PC5,8,2021-07-26,2026-01-01,4.729933718412966,3.5289434706665594,1.00010799,0.9997575084
PC6,7,2021-05-02,2026-01-30,4.587001336345185,3.5916938482010967,0.99994853,0.9997646619
PC7,12,2021-04-29,2025-09-17,4.40531555819494,3.530308051363528,1.00014365,0.9999034888
PC8,13,2021-04-04,2025-10-09,5.290620666640756,3.473705079022584,1.00295733,0.9998283045
PC9,12,2021-04-19,2025-08-09,4.612976069877803,3.4812786350629534,0.99996707,0.9999488748
