PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,18,2021-04-17,2025-10-09,6.344092409520829,4.284165470447759,1.01152966,1.0004918299
PC10,8,2021-03-22,2024-09-20,3.651768996372936,3.3212751456099947,1.00181096,1.0001108465
PC2,11,2021-08-09,2025-10-09,4.7327784713787775,3.5713731671149076,1.00015278,1.0004918299
PC3,15,2021-04-05,2026-02-07,5.480946457085153,3.9678747088373223,1.00025367,0.9993352162
PC4,15,2021-05-19,2025-09-21,4.630089318157607,3.400101147601129,1.00161636,1.0004233221
PC5,15,2021-04-24,2025-10-30,4.520289675818728,3.4682095935273556,0.99990911,0.9998960637
PC6,8,2021-09-19,2025-09-17,4.557171829020002,3.814580971537585,1.0004416918,1.000450154
PC7,15,2021-12-23,2025-10-30,5.873000333581322,3.70696696472552,1.0003879902,0.9998960637
PC8,9,2021-03-20,2024-10-08,4.781980548871001,3.865994384318994,1.00223016,0.9994200605
PC9,11,2021-03-17,2025-06-04,4.746818641485152,3.3537203530842095,0.99908311,1.0004352579
