hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-09-07,7.477929737902782,PC1,upper,7.477929737902782,0.99200516
2021-09-08,4.942054431870588,PC1,upper,4.942054431870588,0.99258059
2021-09-09,4.846519444204035,PC1,upper,4.846519444204035,0.99070497
2022-01-28,-3.2557123790230507,PC1,lower,3.2557123790230507,0.9973468629
2022-01-31,-3.1438535354249453,PC1,lower,3.1438535354249453,0.9971934407
2022-02-04,-3.7549815463607,PC1,lower,3.7549815463607,0.9957309922
2022-02-05,-3.6244196915749143,PC1,lower,3.6244196915749143,0.9954101896
2022-02-11,-3.8693416400503504,PC1,lower,3.8693416400503504,0.9930209701
2022-12-29,5.802081334318038,PC1,upper,5.802081334318038,0.9987726285
2022-12-30,3.2201900782221027,PC1,upper,3.2201900782221027,0.9980616152
2023-03-11,-4.3001790122632535,PC1,lower,4.3001790122632535,0.9941528197
2023-04-14,-5.318654555541657,PC1,lower,5.318654555541657,1.0030581252
2024-02-15,3.073964773878135,PC1,upper,3.073964773878135,0.999334989
2024-04-12,5.5803758642017876,PC1,upper,5.5803758642017876,1.0107611274
2024-07-01,5.276402832272591,PC1,upper,5.276402832272591,1.0070242796
2024-11-28,4.730968713729741,PC1,upper,4.730968713729741,0.9998848443
2024-12-03,3.671994107064421,PC1,upper,3.671994107064421,1.0014886126
2025-04-23,3.430575083127322,PC1,upper,3.430575083127322,0.9995684916
2025-11-12,3.345264794254218,PC1,upper,3.345264794254218,0.99908385
2025-11-13,3.109630226668267,PC1,upper,3.109630226668267,0.9980641355
2025-11-16,3.4263753163670483,PC1,upper,3.4263753163670483,0.9989928186
2025-11-19,3.2639215259875725,PC1,upper,3.2639215259875725,0.9987268149
2025-11-20,3.4180814408527884,PC1,upper,3.4180814408527884,0.9970609675
2021-02-26,-3.0876162035107857,PC10,lower,3.0876162035107857,0.99861497
2021-04-19,-3.5181372089078127,PC10,lower,3.5181372089078127,0.99931658
2021-05-19,-3.76652867802096,PC10,lower,3.76652867802096,0.99924802
2021-05-20,-3.168455830814024,PC10,lower,3.168455830814024,0.99969646
2021-06-26,-3.4945454888564678,PC10,lower,3.4945454888564678,1.00155389
2021-09-14,3.4331414441886707,PC10,upper,3.4331414441886707,1.0001929546
2021-11-24,3.214674851157586,PC10,upper,3.214674851157586,1.0003430271
2021-12-17,-3.027862254802328,PC10,lower,3.027862254802328,0.9996544629
2022-01-22,3.6618609793516503,PC10,upper,3.6618609793516503,1.0005935576
2022-04-21,-3.1439234197825674,PC10,lower,3.1439234197825674,1.0002610518
2022-09-27,3.433664243351393,PC10,upper,3.433664243351393,0.9975834344
2022-10-03,4.132077347680784,PC10,upper,4.132077347680784,1.002497375
