PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,23,2021-09-07,2025-11-20,7.477929737902782,4.168846611528709,0.99200516,0.9970609675
PC10,22,2021-02-26,2026-01-31,4.602292955097442,3.4459220737240557,0.99861497,0.9988006732
PC2,20,2021-05-12,2025-11-24,5.644996911914019,3.917767363879591,0.99958314,0.9976169905
PC3,21,2021-09-06,2026-02-24,6.594724294132215,3.6507599954335967,1.0008915,1.0001752617
PC4,11,2021-04-18,2025-03-30,4.093984959376038,3.4816421420642185,0.99798716,1.0001803449
PC5,15,2021-10-15,2025-09-19,5.450370030836436,3.514130279897553,0.9993414719,0.9999853556
PC6,17,2021-09-11,2025-04-12,5.548624858014028,3.619738499580529,1.00120284,0.9997868666
PC7,16,2021-03-18,2025-10-09,4.808716460951387,3.473736260526234,1.00068423,1.0006587027
PC8,13,2021-04-30,2025-06-15,5.163900425940798,3.6686200090317382,0.99882592,0.9995831617
PC9,16,2021-04-29,2025-11-13,4.687962503204599,3.658187259451041,0.99945121,0.9980641355
