PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,19,2021-05-20,2022-05-14,6.872068611178205,3.721713002006829,0.98685071,0.1964422567
PC10,23,2021-02-28,2022-04-03,3.4730617368374923,2.447047841188488,1.00128955,0.9999548162
PC2,19,2021-04-18,2022-05-14,3.3150362885729705,2.362643228642666,0.99632065,0.1964422567
PC3,30,2021-04-07,2022-05-14,4.407203974900212,2.646068524152369,0.99438775,0.1964422567
PC4,22,2021-04-07,2022-05-06,4.685397089296077,2.589990142111748,0.99438775,0.9996239635
PC5,23,2021-03-17,2022-05-05,3.6708258726888414,2.509120069155908,0.99887655,0.9995462775
PC6,27,2021-04-07,2022-05-07,3.6768045266163907,2.4435152188229896,0.99438775,0.9968681918
PC7,25,2021-03-01,2022-04-13,4.218283772021739,2.6735966292609294,1.00097187,1.0008891607
PC8,22,2021-03-01,2022-01-25,4.318144527947364,2.5595929351427036,1.00097187,1.0003695787
PC9,19,2021-04-08,2022-04-18,3.8351599440267705,2.618504748374781,0.99962059,1.0024578757
