PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,23,2021-03-17,2025-12-30,9.07292710058199,4.397400487947347,1.00526405,0.9996807244
PC10,8,2021-09-18,2025-04-07,4.88692751516748,3.6993246160516042,0.9992894518,0.9999711691
PC2,14,2021-04-18,2026-01-01,5.594356484139418,3.8285695620938123,0.99915892,0.9997255624
PC3,19,2021-05-19,2025-10-20,5.310895919001748,3.735385628793228,1.00063869,0.9999275002
PC4,19,2021-02-22,2025-10-20,4.955594391040672,3.5801404131380807,1.00051032,0.9999275002
PC5,17,2021-04-30,2025-09-17,4.735563845157269,3.7919683722081934,1.00006512,0.999879806
PC6,16,2021-03-18,2025-08-10,4.8254775250224275,3.6262191711453005,1.00237566,1.0001145044
PC7,18,2021-11-16,2025-05-24,5.445298195313068,3.7825390209297516,1.0011561072,0.9999107835
PC8,15,2021-03-18,2025-10-09,5.173959392275249,3.590648028918497,1.00237566,0.9998290334
PC9,15,2021-06-17,2025-09-02,5.039205620511185,3.601205932247517,1.00150146,0.9998984321
