stablecoin,hit_date,PC,z_score,close_price,matched_depeg_date,lead_time_days,is_matched
DAI,2021-01-28,PC1,-3.315757086166424,1.00058975,,,False
DAI,2021-01-29,PC1,-3.6239404866576486,0.9996591,,,False
DAI,2021-01-30,PC1,-3.3654474960742244,1.00070566,,,False
DAI,2021-01-31,PC1,-3.2030828801927482,1.00027682,,,False
DAI,2021-02-20,PC1,-3.0611404603127967,1.00067667,,,False
DAI,2021-04-04,PC1,3.151519990417689,1.00671266,2021-04-04,0.0,True
DAI,2021-04-17,PC1,4.243302122416307,1.0103104,2021-04-17,0.0,True
DAI,2021-12-14,PC1,-8.007548347032731,0.9994511007,2021-12-17,3.0,True
DAI,2021-12-15,PC1,-3.7375822566756423,0.9976650101,2021-12-17,2.0,True
DAI,2021-12-16,PC1,-3.503191163048325,0.9984210202,2021-12-17,1.0,True
DAI,2021-12-17,PC1,-3.5505448817166747,0.9957391158,2021-12-17,0.0,True
DAI,2021-12-18,PC1,-3.17273309173228,1.0008749366,2021-12-21,3.0,True
DAI,2021-12-19,PC1,-3.6484522978725216,0.9993519847,2021-12-21,2.0,True
DAI,2021-12-20,PC1,-3.583648337511077,1.0015705966,2021-12-21,1.0,True
DAI,2022-05-08,PC1,3.5716704269900124,0.9995645261,,,False
DAI,2022-05-09,PC1,3.741445773123196,0.9983388626,,,False
DAI,2022-05-10,PC1,3.5440625447231175,0.999920097,,,False
DAI,2022-05-11,PC1,5.842438275438233,1.0012738315,,,False
DAI,2022-05-12,PC1,4.923036681138141,1.0010548216,,,False
DAI,2022-05-13,PC1,4.186390883965941,0.9997113928,,,False
DAI,2022-05-14,PC1,3.975931217938864,1.0015318678,,,False
DAI,2022-05-15,PC1,3.3148129302534635,1.00081298,,,False
DAI,2022-05-16,PC1,3.175026339236229,0.9997072261,,,False
DAI,2023-03-11,PC1,16.004373411080255,0.973868652,2023-03-11,0.0,True
DAI,2023-03-12,PC1,9.529496362187235,0.9925845914,2023-03-12,0.0,True
DAI,2023-03-13,PC1,6.636062076654977,0.9989164101,,,False
DAI,2023-03-14,PC1,4.997530205293617,0.9989770186,,,False
DAI,2023-03-15,PC1,4.134746400419568,0.9991650863,,,False
DAI,2022-05-05,PC10,3.0797240020916345,0.9997517624,,,False
DAI,2022-05-10,PC10,-3.131087675913334,0.999920097,,,False
DAI,2022-06-16,PC10,-3.5720955154013536,1.0001201628,,,False
DAI,2022-08-08,PC10,-8.19906549350423,0.9997260182,,,False
DAI,2023-03-11,PC10,5.29352374144298,0.973868652,2023-03-11,0.0,True
DAI,2023-03-12,PC10,-4.868276576656741,0.9925845914,2023-03-12,0.0,True
DAI,2023-03-18,PC10,5.65159142168736,0.9981600962,,,False
DAI,2023-04-10,PC10,3.201994879662047,1.0001095732,,,False
DAI,2025-04-11,PC10,-5.180980353645721,0.9999138487,,,False
DAI,2025-04-12,PC10,-7.822124638129757,1.0002187615,,,False
DAI,2025-05-07,PC10,-14.899950315142876,1.0002037747,,,False
DAI,2025-05-09,PC10,-4.26013910279359,1.0001208566,,,False
DAI,2025-05-10,PC10,-7.746645253798766,0.9999543111,,,False
DAI,2025-05-11,PC10,-8.46249321881194,0.9997953111,,,False
DAI,2025-05-12,PC10,6.168493249667374,1.000067335,,,False
DAI,2025-05-13,PC10,5.171814105413958,1.0001395171,,,False
DAI,2025-05-24,PC10,3.3937953688789717,0.9999107835,,,False
DAI,2025-05-25,PC10,9.743199477889043,0.9997655068,,,False
DAI,2025-05-26,PC10,14.004823863093113,0.9998530668,,,False
DAI,2025-06-03,PC10,3.3287608439097487,0.9999051441,,,False
DAI,2025-06-19,PC10,4.87602857943154,0.9998448828,,,False
DAI,2025-08-11,PC10,-8.65171454848863,1.0001096325,,,False
DAI,2025-09-03,PC10,8.813716861765807,1.0001575237,,,False
DAI,2021-03-17,PC2,3.8524314759235594,1.00526405,2021-03-17,0.0,True
DAI,2021-04-18,PC2,4.630893476279324,0.99915892,,,False
DAI,2021-05-19,PC2,4.836491831282938,1.00063869,,,False
DAI,2021-05-23,PC2,3.256580832832619,1.00182172,,,False
DAI,2021-11-10,PC2,-15.097903803554546,0.9877538364,2021-11-10,0.0,True
DAI,2021-11-17,PC2,4.172280890082426,1.0030699995,2021-11-19,2.0,True
DAI,2021-11-19,PC2,4.3004820865415025,1.0048333304,2021-11-19,0.0,True
DAI,2021-11-20,PC2,5.4322249507963765,1.0074067795,2021-11-20,0.0,True
DAI,2021-11-23,PC2,6.5233517285276115,1.0075260721,2021-11-23,0.0,True
DAI,2021-11-24,PC2,3.3300412264927597,1.0047285533,2021-11-24,0.0,True
DAI,2021-11-29,PC2,3.6623508614947604,1.0046998648,2021-11-29,0.0,True
DAI,2021-12-06,PC2,6.242961683268445,1.0098407603,2021-12-06,0.0,True
DAI,2021-12-14,PC2,4.003298259161773,0.9994511007,2021-12-17,3.0,True
DAI,2021-12-21,PC2,3.4689858480927436,1.0045096463,2021-12-21,0.0,True
DAI,2023-03-11,PC2,-22.915263312582084,0.973868652,2023-03-11,0.0,True
DAI,2023-03-12,PC2,-3.7486637313838744,0.9925845914,2023-03-12,0.0,True
DAI,2025-04-07,PC2,-8.380608869994838,0.9999711691,,,False
DAI,2025-04-08,PC2,-4.232618353268306,1.0000300455,,,False
DAI,2025-04-10,PC2,-4.0319425810486695,0.9997041295,,,False
DAI,2025-04-11,PC2,-4.468441225738275,0.9999138487,,,False
DAI,2025-04-12,PC2,-4.3579696862102395,1.0002187615,,,False
DAI,2025-05-07,PC2,-5.9247537747061445,1.0002037747,,,False
DAI,2025-05-08,PC2,-3.815732781094264,1.0001459986,,,False
DAI,2025-05-09,PC2,-3.4997646757373904,1.0001208566,,,False
DAI,2021-02-20,PC3,-4.05090449050077,1.00067667,,,False
DAI,2021-04-17,PC3,-3.5071480812451403,1.0103104,2021-04-17,0.0,True
DAI,2021-05-19,PC3,-4.583766606684794,1.00063869,,,False
DAI,2021-05-23,PC3,-3.2727245003079073,1.00182172,,,False
DAI,2021-11-10,PC3,5.155825399629354,0.9877538364,2021-11-10,0.0,True
DAI,2021-11-11,PC3,10.939081620886267,1.0053536445,2021-11-11,0.0,True
DAI,2021-11-12,PC3,7.9307701090373675,1.0018698681,2021-11-19,7.0,True
DAI,2021-11-13,PC3,6.927108129522482,1.0013494909,2021-11-19,6.0,True
DAI,2021-11-14,PC3,6.690750131266883,1.0007289899,2021-11-19,5.0,True
DAI,2021-11-15,PC3,3.0046923269770236,1.0001597113,2021-11-19,4.0,True
DAI,2021-11-16,PC3,5.460290361431731,1.0011561072,2021-11-19,3.0,True
DAI,2021-11-18,PC3,4.6516669954427785,0.9964562056,2021-11-19,1.0,True
DAI,2021-11-20,PC3,3.1084519057154405,1.0074067795,2021-11-20,0.0,True
DAI,2021-11-21,PC3,5.646649949613283,0.9969374162,2021-11-23,2.0,True
DAI,2021-11-22,PC3,5.6424361414703545,0.9967034445,2021-11-23,1.0,True
DAI,2021-11-24,PC3,3.6041883734159903,1.0047285533,2021-11-24,0.0,True
DAI,2021-11-26,PC3,4.410045286215235,0.9992012427,2021-11-29,3.0,True
DAI,2021-11-30,PC3,3.1807034663410314,1.0002122889,2021-12-06,6.0,True
DAI,2021-12-01,PC3,3.4695151366773853,0.9979849611,2021-12-06,5.0,True
DAI,2021-12-02,PC3,3.5068303404085857,0.9974584753,2021-12-06,4.0,True
DAI,2021-12-03,PC3,4.082486881767484,0.9966161525,2021-12-06,3.0,True
DAI,2021-12-04,PC3,3.295918854275458,1.0007645864,2021-12-06,2.0,True
DAI,2021-12-05,PC3,3.1405358903100256,0.9990486749,2021-12-06,1.0,True
DAI,2021-12-07,PC3,4.801599609613168,0.9972688275,,,False
DAI,2021-12-09,PC3,3.933343461742562,0.9973099539,,,False
DAI,2021-12-13,PC3,3.742857984052697,0.9982055365,2021-12-17,4.0,True
DAI,2021-12-14,PC3,4.087416013634683,0.9994511007,2021-12-17,3.0,True
DAI,2021-12-15,PC3,3.743347328473088,0.9976650101,2021-12-17,2.0,True
DAI,2021-12-17,PC3,4.813538971062141,0.9957391158,2021-12-17,0.0,True
DAI,2021-12-19,PC3,3.461937452818173,0.9993519847,2021-12-21,2.0,True
DAI,2021-12-28,PC3,4.438556075343619,0.9956077883,2021-12-28,0.0,True
DAI,2021-12-29,PC3,3.4677935666578787,0.9962495231,,,False
DAI,2022-08-08,PC3,3.633183954366575,0.9997260182,,,False
DAI,2023-03-12,PC3,7.052536099186737,0.9925845914,2023-03-12,0.0,True
DAI,2023-03-13,PC3,7.127067726650856,0.9989164101,,,False
DAI,2023-03-14,PC3,6.844754545501623,0.9989770186,,,False
DAI,2023-03-15,PC3,7.308109487419082,0.9991650863,,,False
DAI,2023-03-16,PC3,3.8516217723225594,0.9993957588,,,False
DAI,2023-03-17,PC3,3.14578790028777,1.0004739766,,,False
DAI,2023-03-18,PC3,5.146606427265543,0.9981600962,,,False
DAI,2023-03-19,PC3,3.935422114758987,0.998308555,,,False
DAI,2023-03-21,PC3,3.8811557800708214,0.9990439651,,,False
DAI,2023-03-22,PC3,3.490830805886104,0.9988667594,,,False
DAI,2023-03-23,PC3,3.2162170138765624,0.9987887605,,,False
DAI,2023-03-24,PC3,3.319114205765563,0.9995646538,,,False
DAI,2023-03-25,PC3,3.090939146390441,0.9994786244,,,False
DAI,2023-03-27,PC3,3.075238508110083,0.9990628585,,,False
DAI,2023-03-28,PC3,3.0201969972704203,0.9998032466,,,False
DAI,2023-03-30,PC3,3.129791940344381,0.9999819158,,,False
DAI,2023-04-10,PC3,3.5139008939886054,1.0001095732,,,False
DAI,2025-04-07,PC3,-3.149595538490539,0.9999711691,,,False
DAI,2025-05-07,PC3,-3.287179183404907,1.0002037747,,,False
DAI,2021-02-08,PC4,3.6373833484019125,1.00127978,,,False
DAI,2021-02-22,PC4,3.7516120343818806,1.00051032,,,False
DAI,2021-02-23,PC4,4.259303259949511,1.00132234,,,False
DAI,2021-04-18,PC4,4.64375689709028,0.99915892,,,False
DAI,2021-05-19,PC4,3.7682300272744906,1.00063869,,,False
DAI,2021-11-10,PC4,-7.904610800986802,0.9877538364,2021-11-10,0.0,True
DAI,2021-11-11,PC4,6.60715796011075,1.0053536445,2021-11-11,0.0,True
