,0,1,2,3,4,5,6,7,8,9
percent_change_24h,0.1303978912063056,0.35668523288025716,0.005960944544352324,0.19077231067813707,-0.08945794980525733,0.46770233986514254,0.07214830037822899,0.06319271860024482,-0.029771461935480102,-0.05864412768842244
percent_change_7d,0.16052598333620322,0.3520778838364509,0.09394470575518228,0.048953515516822366,0.13163018322269046,0.17152607160154998,-0.11938792970014434,0.07569270092367915,0.09375750371188876,0.4804129308574667
percent_change_30d,0.18200981678456568,0.3656981505681417,0.07579901019768265,0.07050699335795081,0.010742356824006824,-0.11903997828268732,-0.16707900899226819,0.06262927929666405,0.09533719557532346,-0.4159422962053075
volume_percent_change_24h,0.0439848566118256,-0.1616659811919178,0.14361425929323254,-0.221374319953543,0.35278453496354045,0.26824362613642533,-0.33839842783298235,0.06883969074193,0.44676614993574576,-0.4057246448255739
volume_percent_change_7d,0.11446412432336098,-0.21182858301807367,0.23675948802248376,-0.2851146226916668,0.21251428037670375,0.2715061560683555,-0.17072610469148233,0.09869604017809261,-0.15202319125432334,0.15011234980609922
volume_percent_change_30d,-0.05403565147365814,-0.13117970008169186,0.3901411571909206,-0.14093317191498908,0.09627591908066023,0.36627151988514217,0.18133133920169214,-0.19967517537462315,0.07632333636029584,0.2969752172640333
market_cap_percent_change_24h,0.19073687604296943,-0.18015974387298248,-0.0505346451688143,0.38871609674703594,0.4552730318341111,-0.04816329472960258,0.24241763062474828,0.07975652544608634,-0.008851388564167959,-0.015472652272269627
market_cap_percent_change_7d,0.33125443640639485,-0.19031999194245286,-0.06800513267189165,0.20581784800203123,-0.14075632125662174,0.030787342088094433,-0.3517187927498002,-0.3239468571660687,-0.038973959881309146,0.10739285264530442
market_cap_percent_change_30d,0.3659475611334253,-0.2149123752298533,-0.08935074080714726,-0.11458958192423074,-0.2419153937317451,0.08952023434330963,0.10895398782279139,0.1645198873673133,-0.06415814632850902,-0.1370318004282738
circulating_supply_percent_change_24h,0.19557716397415295,-0.167381080384573,-0.05037451448882703,0.39597481226967807,0.4523436602231562,-0.03119776183176409,0.2452234175936119,0.08210999152843595,-0.009929594193005082,-0.017635990911803467
circulating_supply_percent_change_7d,0.3335442315129195,-0.18506841878984212,-0.06659686442070323,0.20649930557760252,-0.13877123679129644,0.033322129047263394,-0.35341497498325153,-0.3227474208249089,-0.037569500419137494,0.11450303612431002
circulating_supply_percent_change_30d,0.3681612528578284,-0.21084086770291136,-0.08852390090771771,-0.11382924503309973,-0.24189481176337846,0.08819341423827824,0.10709181545258135,0.16530195186625465,-0.06309192700142997,-0.14184270881818598
realized_daily_volatility,0.1591302624897078,-0.04989121435135904,0.20787243560388205,-0.3191346532570053,0.2586972111404317,-0.46316228559778677,-0.18858874357589445,-0.01872500528134938,-0.14407616074392895,-0.027642751834271083
peg_error,0.30336942813948914,0.37730917608602127,0.006613942463297585,-0.05802867651381784,0.08273475769448425,-0.00730516850038373,-0.01876469015396243,0.020698577080917366,0.04209733402568421,0.03266651352998194
abs_peg_error,0.2911279944017017,0.36106483745634504,0.0905381614817983,-0.08004460637917357,0.07367660402663513,0.00901308317735401,0.053385160900000825,-0.04631894983978535,-0.10256561529009814,-0.09484355190271279
price_deviation_5d,0.2731700494802044,0.08371011794612654,0.07948799128603257,-0.2698433696106151,0.0619866076572892,-0.3622311442337077,0.23338741817819356,-0.12655335758262792,0.0027807740612704156,0.2655553873802523
price_deviation_30d,0.23201736241672377,-0.08839382348064959,-0.18039466363234202,-0.2996711994980576,-0.11771190564956573,0.11062573930601738,0.44620152412992375,-0.050173032830607076,0.35255268839782916,0.0034291852381169883
downward_price_deviation_5d,-0.010333417981506925,0.01345516999173884,0.3875586583570657,0.004818880098763567,-0.009027229593889937,0.14144076122130841,0.25510237083500864,-0.3882666154066558,-0.5171217926975537,-0.38236264795606595
downward_price_deviation_30d,0.001252107607431669,0.0037376749385293192,0.3543171467981522,0.21431255622970952,-0.17396874802249457,-0.2003365138324605,0.15440620935680713,-0.3756495798661272,0.5620631874104433,-0.09556876151172719
fear_greed_index,0.0986929987455154,-0.09033361580778485,0.3847130887999091,0.1364941019892237,-0.22709505817928216,-0.11004293297715366,0.021550225816987904,0.5283024481738736,-0.001896766211090258,-0.00433202529532172
fed_funds_rate,0.025642903032510992,-0.08296957320403711,0.4609479093838741,0.21970132645963758,-0.22103857688340314,-0.07963388780495949,-0.05932016916050493,0.2509543768751485,0.028441871822140738,0.12889080536193342
