,0,1,2,3,4,5,6,7,8,9
percent_change_24h,-0.07494767963265561,0.005716223336205088,0.46542822764444597,0.02050498170715845,-0.05223155185691699,0.17494093277877856,-0.026745311953112135,0.04213221362414543,0.5028122617342948,-0.026414547646617874
percent_change_7d,-0.12673277259987725,-0.017875985527212656,0.47398320484115264,-0.045894593086736796,-0.06093433124969201,-0.07707899425625711,-0.049426610297344194,0.06933134102686382,-0.1155841252214781,-0.0969714334933925
percent_change_30d,-0.16210017216376235,0.015931873519712002,0.4703734860495625,-0.05433128095976438,0.021604499364898663,-0.04666400382163584,0.11005076435917484,-0.04094054992240581,-0.16093358619670817,0.07857084455492883
volume_percent_change_24h,0.09023947063394852,-0.054325596124504286,0.0638262251954531,0.517118457523133,0.15223153978063517,8.001453217141044e-05,0.06490300133139358,0.2348868242522973,0.012584736564790828,0.6743942820249285
volume_percent_change_7d,0.09960779629752652,-0.05522316028099521,0.05412511130414159,0.5689337840826534,0.15566498932409573,0.038399264573789,0.10617413045045712,-0.02495306296350888,0.1865980096250075,-0.05384885361308166
volume_percent_change_30d,0.09073401269237753,-0.04661217603945668,0.08939805873051081,0.5204698496081374,0.12952580295399485,-0.044312898959556896,0.06326749448084025,-0.14489864265918292,-0.25009016471343287,-0.6418358647401224
market_cap_percent_change_24h,0.08893230165426538,0.34177143178914693,0.025478217871688698,-0.1022401115064131,0.5370332897480551,-0.09781058082833133,-0.2339394240689362,0.09257907305877931,0.028321462703946747,-0.03850412526973242
market_cap_percent_change_7d,0.16343556051811284,0.41896823570233593,0.04052124950251641,-0.03769930977257513,-0.031214782866434785,0.16778788847599657,0.4301443014073137,-0.24239400869573724,-0.07496926475509007,0.08000202729355049
market_cap_percent_change_30d,0.1841103251470795,0.3492837774586373,0.02719684133677674,0.10948854470914912,-0.38854681843578,-0.04242189409147622,-0.1753345694545878,0.3476645654211323,0.025133056076284757,-0.09449358749462496
circulating_supply_percent_change_24h,0.08412510685992056,0.3425809032324059,0.056118153137060006,-0.10095584081282602,0.5345545473177379,-0.08651063935602621,-0.23635670022803482,0.09504435864970297,0.06174555382955642,-0.039950822902765894
circulating_supply_percent_change_7d,0.16037251236918984,0.41935053593455224,0.05306123622953391,-0.039265031256321546,-0.032012415813932736,0.16647095506185627,0.43032022053165525,-0.2415574406222485,-0.07847640336230557,0.07781217943666817
circulating_supply_percent_change_30d,0.18211850528365656,0.3502619576196641,0.03398511306753078,0.10883868846317249,-0.388758461067993,-0.04293993709415961,-0.17376012379586372,0.3478609738556696,0.022865216308632898,-0.09353731336519756
realized_daily_volatility,0.01950764215220031,-0.01736390439249233,0.04313728031609328,0.03658472096779166,0.017741566881229173,0.8561910574137217,-0.4122980910254602,-0.10167565941262235,-0.22176289476267683,0.027057242700955605
peg_error,-0.27904299296563473,0.043421038326105915,0.43550935494081044,-0.023065823336647525,-0.002885646786020984,-0.014906081390506858,0.030883129797907662,-0.012521570339248668,0.07458353979047486,-0.012457801379765989
abs_peg_error,0.303359386115479,-0.13032976204783991,-0.0125570200566458,-0.11195463462752203,0.02915996338780549,-0.008929332170343451,0.09477146538053523,-0.07974119907938819,0.4259599770291347,-0.13622761439185976
price_deviation_5d,0.357468112331579,-0.15915273812895817,0.12769136724043906,-0.11064482177323619,0.03000143919471172,0.09075102983727769,0.03732165259594617,-0.057133295650515795,0.2522697822238451,-0.0522236822809204
price_deviation_30d,0.33800603482737507,-0.17809203387645733,0.1958589429061667,-0.12956013074710804,0.025528747164784878,-0.08991524707039472,-0.009587858034441166,-0.0029970329585102956,-0.20868865953109267,0.08207787671011861
downward_price_deviation_5d,0.37758043567741156,-0.13642775318462047,0.01907337805696985,-0.04812216646086848,-0.016584542489978323,0.11330033811212133,-0.04273258734292334,-0.017858536714345577,0.23205627181873809,-0.030745414353874897
downward_price_deviation_30d,0.352063985618948,-0.16526089050658438,0.18129672755992668,-0.09277065558895499,0.007418612608072616,-0.09711407182908911,-0.07241864770109267,-0.02227438743958407,-0.2697628828992152,0.09218617184540208
fear_greed_index,-0.02354194222683528,-0.17076387471705542,-0.03410953729991752,-0.16819686557701907,0.21615675006636678,0.29739738603982563,0.48228693393138455,0.7186834796919443,-0.11451549708657115,-0.1976337860559472
fed_funds_rate,0.3345042993822213,-0.09836691090094432,0.1776821960209667,-0.04948620150538025,-0.02959537653049535,-0.14449965213104238,-0.049342579627559294,0.03028436332193089,-0.33127010164425363,0.058658498628581454
