,0,1,2,3,4,5,6,7,8,9
percent_change_24h,-0.04566955617498449,0.3609544386274247,-0.23252136260328915,-0.023524379907216033,-0.06737128128691662,0.1624652295170385,0.4939142728917933,0.4510163272217248,0.2340847018520842,0.10519835769795478
percent_change_7d,-0.07340243296490684,0.3982380000504935,-0.22153316806628065,0.10572626725112796,-0.03558861647251554,0.08062238953600359,-0.08010439102526605,-0.15173385538731438,-0.09383736362601243,-0.024074749342446695
percent_change_30d,-0.10798180089626896,0.34239323046724274,-0.27525840277372116,0.09752130318771039,-0.025942667661970807,-0.1394889341234253,-0.05631926630928928,-0.20899545266694025,-0.024848635967273748,-0.2869158938452635
volume_percent_change_24h,-0.003991649301633566,-0.06615856317462539,0.04333271822855433,0.48622954364497994,0.068363971566429,0.5852407007179737,-0.040805187438446425,-0.23602728876497836,0.352968137396413,-0.3619730023146158
volume_percent_change_7d,-0.06032663312489426,-0.021552290162262597,0.09182219042927094,0.5680404466206199,0.0026801388205806944,0.014314378100033226,-0.11168420890479464,0.19951779225475108,-0.06431862181352037,0.629672822721748
volume_percent_change_30d,-0.10421291225323903,-0.04357582134139118,0.1710754097833714,0.5246950046171588,0.052312362258497135,-0.07985692034677788,0.24885213348689394,0.041600954551527874,-0.3286638543277104,-0.13986432014827113
market_cap_percent_change_24h,0.3096814216269071,0.00030588513080169433,0.06013347508803077,-0.0342158871538385,0.42816206214765035,0.07474238848966216,0.25191920841033405,-0.13530833057123703,-0.22644708940643385,0.013037288050098282
market_cap_percent_change_7d,0.35898181799579465,0.09741797122807268,-0.0680942278013817,-0.018018872468754155,0.06263256591246061,0.11837258249139182,-0.11071449893076935,0.0537352932143178,0.0015364190978897482,-0.03167932927171071
market_cap_percent_change_30d,0.3430997434232879,0.10498832154136535,-0.06366862513651052,0.1294302851581354,-0.14939997230193783,-0.05452186727291923,-0.28524307204440785,0.1378137269719835,-0.0631726957837616,-0.02550644616467103
circulating_supply_percent_change_24h,0.30648192005172653,0.05090020347137981,0.028058177969646818,-0.037745954547752786,0.4229928281754561,0.0985917223790984,0.3240395964236272,-0.07319729786205234,-0.19586124778616584,0.027624976115802287
circulating_supply_percent_change_7d,0.3566155459889922,0.11083785975385081,-0.07557411381358811,-0.014417716577383425,0.061440110863796984,0.12114426393518382,-0.11347420308453908,0.04865384840899073,-0.001653492347272555,-0.032503924197010356
circulating_supply_percent_change_30d,0.34212663392187004,0.10870425871399812,-0.06665023731254097,0.1305322983796583,-0.14976108676679362,-0.05607238109013174,-0.28600448809410384,0.1356690585678856,-0.06351636332869814,-0.028596649182010915
realized_daily_volatility,-0.031301907406765764,0.0763540329155059,0.24830555160552828,0.0853964381958003,0.5179769471457478,-0.4105189583871568,-0.1869530095013959,0.19807487035738272,0.573907465408183,-0.14298355811823918
peg_error,-0.24909533177878823,0.29279850155552906,-0.29223392203118637,0.006485132829388456,0.19069559576028872,0.04792878390776189,-0.07372694395453618,-0.0779483933624511,-0.04422509340978857,0.056263377466018144
abs_peg_error,-0.09644166719007785,0.49006931000160064,0.10586558629231424,0.03221013764042811,0.09715451662986065,-0.04744023397610042,0.02563831755535164,0.0400643060168652,0.012766714412154049,0.11990892681966318
price_deviation_5d,-0.11559133289296224,0.2964810134625591,0.34373001676769455,-0.027214688873208184,0.12708307840027447,-0.12024629752470976,-0.24045629275377017,-0.32261236129409393,-0.2885385680962773,0.05522953696709702
price_deviation_30d,-0.16036095085034616,0.10599928214132169,0.386201507946623,-0.18204489560777745,-0.12589264290059826,0.27141398675283146,0.1190303651165039,-0.2578760986218381,0.17442519136393042,0.21666032718758488
downward_price_deviation_5d,0.19472535903197197,0.2230304423755159,0.40698260664773916,-0.02998274917567745,-0.16252670522016247,-0.019895844418116836,0.1585932520902717,0.16818393586578514,0.028166958700699584,-0.07508880121472862
downward_price_deviation_30d,0.15498095156151326,0.23334970467978966,0.36888371139316856,0.0038490519945543924,-0.37904944455022205,-0.0009709302638729979,0.06109498930889887,0.005817426113372452,0.024306077258610725,-0.20556759806152958
fear_greed_index,-0.28777438654996595,-0.05302048429803707,0.10075177667537165,0.03493626305993071,0.030229129411169977,-0.04148161327809568,0.046413270772976994,0.4122282590228062,-0.35161571590430196,-0.46729560668006914
fed_funds_rate,0.17189790287189494,-0.045476060002262675,-0.1443593247021488,0.25111325658294725,-0.23302744313451398,-0.5339774484085995,0.4117798060721696,-0.38803371924932406,0.1765869398798499,-0.015985259882129746
