hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-04-17,3.6480622723590828,PC1,upper,3.6480622723590828,1.01152966
2022-05-11,-4.900785540883157,PC1,lower,4.900785540883157,0.9958721391
2022-05-12,4.080640383815118,PC1,upper,4.080640383815118,0.997609369
2022-05-13,3.2430254690367812,PC1,upper,3.2430254690367812,0.9982388361
2022-11-09,4.24765582030815,PC1,upper,4.24765582030815,0.9986002893
2022-11-10,4.534070206495022,PC1,upper,4.534070206495022,0.9978350052
2023-02-13,3.4504122224834775,PC1,upper,3.4504122224834775,1.0009326993
2023-03-10,3.936876200888193,PC1,upper,3.936876200888193,1.0030472207
2023-03-11,4.283956405666808,PC1,upper,4.283956405666808,1.00769
2023-06-15,3.518528331563545,PC1,upper,3.518528331563545,0.9991828177
2024-11-08,-3.0652761097716152,PC1,lower,3.0652761097716152,1.0004591271
2021-05-13,-3.161588874825729,PC10,lower,3.161588874825729,0.99986797
2021-07-21,3.3338400058115605,PC10,upper,3.3338400058115605,1.00026584
2021-09-21,-3.6320519467056758,PC10,lower,3.6320519467056758,1.0000881069
2023-05-03,-3.2898916323388154,PC10,lower,3.2898916323388154,1.0002708992
2023-10-02,3.558966769641685,PC10,upper,3.558966769641685,1.0003325146
2021-04-18,-3.2733609047332126,PC2,lower,3.2733609047332126,1.00010421
2022-12-13,-3.068577679896475,PC2,lower,3.068577679896475,1.0000172408
2023-01-14,3.177614118817049,PC2,upper,3.177614118817049,1.0001572213
2023-06-18,3.0121448893791496,PC2,upper,3.0121448893791496,0.9998080998
2021-04-05,3.0986849998777695,PC3,upper,3.0986849998777695,1.00025367
2022-11-08,3.5236478872637647,PC3,upper,3.5236478872637647,1.0000319041
2024-08-05,3.2133314755083253,PC3,upper,3.2133314755083253,1.0003646672
2021-06-15,3.0162010418506306,PC4,upper,3.0162010418506306,1.00037721
2021-09-07,3.259060986377076,PC4,upper,3.259060986377076,1.00049309
2021-10-15,3.5356906889440967,PC4,upper,3.5356906889440967,0.999151825
2022-01-01,-3.095425877792685,PC4,lower,3.095425877792685,1.0005000842
2022-05-02,3.57496933896373,PC4,upper,3.57496933896373,0.9999552513
2023-07-27,3.4537410299113147,PC4,upper,3.4537410299113147,0.9995903205
2024-10-08,3.6103727516685966,PC4,upper,3.6103727516685966,0.9994200605
2025-01-17,-3.031022611227987,PC4,lower,3.031022611227987,1.0002971521
2025-10-29,-3.338748204384957,PC4,lower,3.338748204384957,1.0002071808
2021-12-31,-3.275520955971456,PC5,lower,3.275520955971456,1.0001891374
2023-03-09,4.230994117559714,PC5,upper,4.230994117559714,0.9999858088
2023-03-23,3.1426426787242114,PC5,upper,3.1426426787242114,1.0009596826
2023-04-27,3.7041578141521816,PC5,upper,3.7041578141521816,0.999965209
2023-12-12,-3.107273807561535,PC5,lower,3.107273807561535,0.9997859382
2024-01-03,3.4150731113333905,PC5,upper,3.4150731113333905,1.0006567475
2021-11-30,-4.220789341981537,PC6,lower,4.220789341981537,1.0002857312
2022-03-17,3.2697607113231264,PC6,upper,3.2697607113231264,1.0004996051
2024-09-19,-3.2160436514943447,PC6,lower,3.2160436514943447,1.0001980408
2025-07-22,-3.0295352006354985,PC6,lower,3.0295352006354985,1.0002714227
2025-12-10,-3.9001799683365617,PC6,lower,3.9001799683365617,1.0002795385
2021-04-30,-3.6623115079660957,PC7,lower,3.6623115079660957,1.00000862
2021-09-30,-3.215586271693414,PC7,lower,3.215586271693414,1.000154661
2022-05-05,3.4305625639909496,PC7,upper,3.4305625639909496,0.9999883349
2023-06-16,3.1731076752653418,PC7,upper,3.1731076752653418,0.9993299392
2021-07-25,3.2457712818895423,PC8,upper,3.2457712818895423,1.0001628
2023-09-30,-3.512650343789642,PC8,lower,3.512650343789642,1.0002098567
2024-04-06,-3.001605724121604,PC8,lower,3.001605724121604,1.0002236811
2021-03-22,3.403883002325603,PC9,upper,3.403883002325603,1.00181096
2021-05-20,-3.7377019325990193,PC9,lower,3.7377019325990193,1.00185206
2021-07-27,-3.9146293556490193,PC9,lower,3.9146293556490193,1.00013227
2021-10-18,3.0833833996151547,PC9,upper,3.0833833996151547,1.0000191085
2021-10-22,3.3823344650069473,PC9,upper,3.3823344650069473,0.9998790575
2021-12-13,-3.2687113371290697,PC9,lower,3.2687113371290697,1.00013053
2023-05-18,3.006334678416012,PC9,upper,3.006334678416012,1.000076883
2023-07-10,3.2450341687180027,PC9,upper,3.2450341687180027,1.000055742
2025-08-18,-3.0869909589258104,PC9,lower,3.0869909589258104,1.0004745672
