PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,18,2021-04-18,2024-08-17,6.748118847526027,4.015545902614127,0.99915892,0.9999650715
PC10,11,2021-10-16,2025-04-07,4.373671533255507,3.4148315990996996,1.00000634,0.9999711691
PC2,6,2021-11-11,2025-07-09,4.743938187433371,3.809206826556679,1.0053536445,1.0001592354
PC3,9,2021-03-22,2026-01-07,3.923945312958574,3.335465783172135,0.99962078,0.9998117056
PC4,7,2021-05-13,2025-05-20,3.4767136757639974,3.2216752444046697,1.00066515,0.9998070354
PC5,14,2021-07-28,2025-10-29,4.278401656787756,3.4238886264806623,1.00098153,0.99988618
PC6,6,2021-02-20,2025-12-10,4.104544615705959,3.51845870515586,1.00067667,0.9998109572
PC7,11,2021-02-15,2026-01-08,3.7909414543280127,3.2619660175005083,1.00113565,0.9997675687
PC8,9,2021-02-06,2025-09-02,4.211173957191588,3.37515135826689,1.0010592,0.9998984321
PC9,4,2021-04-15,2025-05-12,3.8767258802569007,3.3690834934407388,1.00173141,1.000067335
